athlete_id,athlete_name,sport,nationality
ATH001,Mia Rossi,Football,France
ATH002,Viktor Petit,Swimming,Argentina
ATH003,Lena Taylor,Athletics,Belgium
ATH004,Laura Bianchi,Athletics,Czech Republic
ATH005,Petra Leclerc,Swimming,Japan
ATH006,Lucas Petit,Boxing,India
ATH007,Chris Yamamoto,Basketball,Portugal
ATH008,Laura Ferreira,Athletics,France
ATH009,Rafael Taylor,Basketball,Italy
ATH010,Mia Dupont,Boxing,Croatia
ATH011,Emma Chen,Athletics,Switzerland
ATH012,David Taylor,Athletics,Spain
ATH013,Katarina Petit,Swimming,Croatia
ATH014,Petra Kowalski,Basketball,Mexico
ATH015,Rafael Rossi,Boxing,Czech Republic
ATH016,Thomas Ferreira,Judo,Denmark
ATH017,David Petit,Boxing,Croatia
ATH018,Thomas Morin,Swimming,Russia
ATH019,Ivan Kowalski,Boxing,Germany
ATH020,Julia Petit,Basketball,Italy
ATH021,Nina Garcia,Basketball,Spain
ATH022,Maria Garcia,Judo,United States
ATH023,Viktor Martinez,Judo,Serbia
ATH024,Laura Andersen,Football,Mexico
ATH025,Luis Petit,Basketball,Greece
ATH026,Petra Popescu,Swimming,Germany
ATH027,Lucas Garcia,Athletics,Brazil
ATH028,Chris Garcia,Cycling,Greece
ATH029,Julia Garcia,Judo,Brazil
ATH030,Max Smith,Cycling,Belgium
ATH031,Mia Romano,Cycling,Belgium
ATH032,Ana Popescu,Judo,South Korea
ATH033,Lucas Leclerc,Tennis,Czech Republic
ATH034,Maria Kowalski,Swimming,India
ATH035,Katarina Martinez,Judo,Croatia
ATH036,Lena Garcia,Judo,China
ATH037,Felix Yamamoto,Boxing,Brazil
ATH038,Felix Romano,Basketball,Mexico
ATH039,Rafael Nkosi,Athletics,Spain
ATH040,Max Morin,Basketball,Greece
ATH041,Mia Morin,Boxing,Poland
ATH042,Rafael Leclerc,Judo,Serbia
ATH043,Oliver Ferreira,Judo,Denmark
ATH044,Elena Martinez,Tennis,France
ATH045,Mia Ferreira,Athletics,Canada
ATH046,Marco Russo,Judo,Czech Republic
ATH047,Maria Leclerc,Football,Norway
ATH048,Viktor Martinez48,Tennis,Czech Republic
ATH049,Sofia Popescu,Cycling,Denmark
ATH050,Lena Eriksson,Cycling,Croatia
ATH051,Oliver Yamamoto,Football,Switzerland
ATH052,Sara Morin,Judo,Mexico
ATH053,Lucas Popescu,Basketball,Denmark
ATH054,Mia Romano54,Football,Austria
ATH055,Petra Leclerc55,Swimming,Russia
ATH056,Sara Santos,Athletics,Japan
ATH057,Clara Leclerc,Swimming,United Kingdom
ATH058,Ivan Kowalski58,Judo,Norway
ATH059,Maria Hansen,Judo,Czech Republic
ATH060,Laura Yamamoto,Tennis,Brazil
ATH061,Carlos Eriksson,Boxing,India
ATH062,Emma Petit,Swimming,United States
ATH063,Chris Morin,Tennis,India
ATH064,Petra Rossi,Basketball,Canada
ATH065,Maria Andersen,Athletics,Argentina
ATH066,Nina Yamamoto,Boxing,Poland
ATH067,Thomas Hansen,Tennis,Netherlands
ATH068,David Novak,Swimming,Australia
ATH069,Julia Martinez,Athletics,China
ATH070,Luis Müller,Judo,South Africa
ATH071,Petra Bianchi,Athletics,Mexico
ATH072,Maria Hansen72,Athletics,Norway
ATH073,Chris Novak,Athletics,France
ATH074,Sofia Russo,Cycling,Italy
ATH075,Emma Kowalski,Boxing,Denmark
ATH076,Luis Bianchi,Judo,South Korea
ATH077,Katarina Morin,Swimming,Italy
ATH078,Max Eriksson,Swimming,Canada
ATH079,Maria Morin,Judo,Brazil
ATH080,Mia Costa,Tennis,South Korea
ATH081,Elena Romano,Judo,Russia
ATH082,Thomas Popescu,Swimming,Portugal
ATH083,Ana Chen,Basketball,Netherlands
ATH084,Emma Russo,Cycling,Austria
ATH085,Lucas Costa,Basketball,South Korea
ATH086,Petra Yamamoto,Basketball,United Kingdom
ATH087,Mia Fischer,Judo,India
ATH088,Julia Taylor,Football,Russia
ATH089,Carlos Bianchi,Tennis,United Kingdom
ATH090,Luis Hansen,Athletics,Portugal
ATH091,Ana Nkosi,Basketball,Canada
ATH092,David Kowalski,Tennis,Czech Republic
ATH093,Julian Costa,Swimming,France
ATH094,Felix Müller,Boxing,Belgium
ATH095,Mia Hernandez,Boxing,India
ATH096,Katarina Weber,Football,Canada
ATH097,Carlos Romano,Swimming,Australia
ATH098,Luis Hernandez,Cycling,Croatia
ATH099,Nina Andersen,Judo,Russia
ATH100,Luis Eriksson,Basketball,India
ATH101,David Santos,Boxing,India
ATH102,Ana Müller,Football,Sweden
ATH103,Julian Weber,Swimming,Denmark
