athlete_id,athlete_name,sport,nationality_ioc
ATH001,Mia Rossi,Football,FRA
ATH002,Viktor Petit,Swimming,ARG
ATH003,Lena Taylor,Athletics,BEL
ATH004,Laura Bianchi,Athletics,CZE
ATH005,Petra Leclerc,Swimming,JPN
ATH006,Lucas Petit,Boxing,IND
ATH007,Chris Yamamoto,Basketball,POR
ATH008,Laura Ferreira,Athletics,FRA
ATH009,Rafael Taylor,Basketball,ITA
ATH010,Mia Dupont,Boxing,CRO
ATH011,Emma Chen,Athletics,SUI
ATH012,David Taylor,Athletics,ESP
ATH013,Katarina Petit,Swimming,CRO
ATH014,Petra Kowalski,Basketball,MEX
ATH015,Rafael Rossi,Boxing,CZE
ATH016,Thomas Ferreira,Judo,DEN
ATH017,David Petit,Boxing,CRO
ATH018,Thomas Morin,Swimming,RUS
ATH019,Ivan Kowalski,Boxing,GER
ATH020,Julia Petit,Basketball,ITA
ATH021,Nina Garcia,Basketball,ESP
ATH022,Maria Garcia,Judo,USA
ATH023,Viktor Martinez,Judo,SRB
ATH024,Laura Andersen,Football,MEX
ATH025,Luis Petit,Basketball,GRE
ATH026,Petra Popescu,Swimming,GER
ATH027,Lucas Garcia,Athletics,BRA
ATH028,Chris Garcia,Cycling,GRE
ATH029,Julia Garcia,Judo,BRA
ATH030,Max Smith,Cycling,BEL
ATH031,Mia Romano,Cycling,BEL
ATH032,Ana Popescu,Judo,KOR
ATH033,Lucas Leclerc,Tennis,CZE
ATH034,Maria Kowalski,Swimming,IND
ATH035,Katarina Martinez,Judo,CRO
ATH036,Lena Garcia,Judo,CHN
ATH037,Felix Yamamoto,Boxing,BRA
ATH038,Felix Romano,Basketball,MEX
ATH039,Rafael Nkosi,Athletics,ESP
ATH040,Max Morin,Basketball,GRE
ATH041,Mia Morin,Boxing,POL
ATH042,Rafael Leclerc,Judo,SRB
ATH043,Oliver Ferreira,Judo,DEN
ATH044,Elena Martinez,Tennis,FRA
ATH045,Mia Ferreira,Athletics,CAN
ATH046,Marco Russo,Judo,CZE
ATH047,Maria Leclerc,Football,NOR
ATH048,Viktor Martinez48,Tennis,CZE
ATH049,Sofia Popescu,Cycling,DEN
ATH050,Lena Eriksson,Cycling,CRO
ATH051,Oliver Yamamoto,Football,SUI
ATH052,Sara Morin,Judo,MEX
ATH053,Lucas Popescu,Basketball,DEN
ATH054,Mia Romano54,Football,AUT
ATH055,Petra Leclerc55,Swimming,RUS
ATH056,Sara Santos,Athletics,JPN
ATH057,Clara Leclerc,Swimming,GBR
ATH058,Ivan Kowalski58,Judo,NOR
ATH059,Maria Hansen,Judo,CZE
ATH060,Laura Yamamoto,Tennis,BRA
ATH061,Carlos Eriksson,Boxing,IND
ATH062,Emma Petit,Swimming,USA
ATH063,Chris Morin,Tennis,IND
ATH064,Petra Rossi,Basketball,CAN
ATH065,Maria Andersen,Athletics,ARG
ATH066,Nina Yamamoto,Boxing,POL
ATH067,Thomas Hansen,Tennis,NED
ATH068,David Novak,Swimming,AUS
ATH069,Julia Martinez,Athletics,CHN
ATH070,Luis Müller,Judo,RSA
ATH071,Petra Bianchi,Athletics,MEX
ATH072,Maria Hansen72,Athletics,NOR
ATH073,Chris Novak,Athletics,FRA
ATH074,Sofia Russo,Cycling,ITA
ATH075,Emma Kowalski,Boxing,DEN
ATH076,Luis Bianchi,Judo,KOR
ATH077,Katarina Morin,Swimming,ITA
ATH078,Max Eriksson,Swimming,CAN
ATH079,Maria Morin,Judo,BRA
ATH080,Mia Costa,Tennis,KOR
ATH081,Elena Romano,Judo,RUS
ATH082,Thomas Popescu,Swimming,POR
ATH083,Ana Chen,Basketball,NED
ATH084,Emma Russo,Cycling,AUT
ATH085,Lucas Costa,Basketball,KOR
ATH086,Petra Yamamoto,Basketball,GBR
ATH087,Mia Fischer,Judo,IND
ATH088,Julia Taylor,Football,RUS
ATH089,Carlos Bianchi,Tennis,GBR
ATH090,Luis Hansen,Athletics,POR
ATH091,Ana Nkosi,Basketball,CAN
ATH092,David Kowalski,Tennis,CZE
ATH093,Julian Costa,Swimming,FRA
ATH094,Felix Müller,Boxing,BEL
ATH095,Mia Hernandez,Boxing,IND
ATH096,Katarina Weber,Football,CAN
ATH097,Carlos Romano,Swimming,AUS
ATH098,Luis Hernandez,Cycling,CRO
ATH099,Nina Andersen,Judo,RUS
ATH100,Luis Eriksson,Basketball,IND
ATH101,David Santos,Boxing,IND
ATH102,Ana Müller,Football,SWE
ATH103,Julian Weber,Swimming,DEN
ATH104,Oliver Novak,Cycling,JPN
ATH105,Ana Taylor,Boxing,SWE
ATH106,Oliver Nkosi,Swimming,KOR
ATH107,Carlos Garcia,Boxing,IND
ATH108,Elena Romano108,Boxing,KOR
ATH109,Katarina Fischer,Athletics,POR
ATH110,Katarina Müller,Football,MEX
ATH111,Marco Russo111,Football,POR
ATH112,Maria Müller,Athletics,KOR
ATH113,Viktor Popescu,Tennis,SUI
ATH114,Viktor Nkosi,Cycling,ARG
ATH115,Emma Popescu,Swimming,JPN
ATH116,Luis Hernandez116,Cycling,POR
ATH117,Maria Nkosi,Cycling,POR
ATH118,Chris Costa,Judo,NED
ATH119,Maria Smith,Basketball,GRE
ATH120,Chris Fischer,Athletics,GER
ATH121,Rafael Fischer,Swimming,IND
ATH122,Lena Santos,Athletics,CRO
ATH123,Emma Petit123,Basketball,POR
ATH124,Felix Novak,Basketball,POR
ATH125,Julia Chen,Judo,SUI
ATH126,Max Fischer,Judo,CRO
ATH127,Katarina Fischer127,Swimming,MEX
ATH128,Lucas Taylor,Judo,GBR
ATH129,Luis Bianchi129,Athletics,GBR
ATH130,Luis Santos,Judo,CRO
ATH131,Rafael Weber,Football,USA
ATH132,Maria Andersen132,Basketball,CHN
ATH133,Maria Dupont,Boxing,NED
ATH134,Rafael Taylor134,Athletics,GBR
ATH135,Emma Popescu135,Boxing,NED
ATH136,Laura Leclerc,Swimming,ESP
ATH137,Lucas Hansen,Basketball,SUI
ATH138,Rafael Popescu,Boxing,IND
ATH139,Ivan Kowalski139,Judo,MEX
ATH140,Carlos Dupont,Football,SWE
ATH141,Ana Morin,Basketball,FRA
ATH142,Lena Ferreira,Judo,JPN
ATH143,Thomas Hansen143,Judo,SRB
ATH144,Chris Weber,Swimming,MEX
ATH145,David Smith,Judo,POR
ATH146,David Bianchi,Judo,AUT
ATH147,Lucas Morin,Football,DEN
ATH148,Ana Hansen,Basketball,NOR
ATH149,Julian Yamamoto,Basketball,IND
ATH150,Thomas Novak,Judo,FRA
ATH151,Katarina Chen,Athletics,BEL
ATH152,Julia Kowalski,Tennis,GRE
ATH153,Felix Russo,Boxing,RUS
ATH154,Nina Russo,Athletics,ITA
ATH155,Ivan Andersen,Tennis,SWE
