athlete_id,athlete_name,sport,nationality_iso2
ATH001,Mia Rossi,Football,FR
ATH002,Viktor Petit,Swimming,AR
ATH003,Lena Taylor,Athletics,BE
ATH004,Laura Bianchi,Athletics,CZ
ATH005,Petra Leclerc,Swimming,JP
ATH006,Lucas Petit,Boxing,IN
ATH007,Chris Yamamoto,Basketball,PT
ATH008,Laura Ferreira,Athletics,FR
ATH009,Rafael Taylor,Basketball,IT
ATH010,Mia Dupont,Boxing,HR
ATH011,Emma Chen,Athletics,CH
ATH012,David Taylor,Athletics,ES
ATH013,Katarina Petit,Swimming,HR
ATH014,Petra Kowalski,Basketball,MX
ATH015,Rafael Rossi,Boxing,CZ
ATH016,Thomas Ferreira,Judo,DK
ATH017,David Petit,Boxing,HR
ATH018,Thomas Morin,Swimming,RU
ATH019,Ivan Kowalski,Boxing,DE
ATH020,Julia Petit,Basketball,IT
ATH021,Nina Garcia,Basketball,ES
ATH022,Maria Garcia,Judo,US
ATH023,Viktor Martinez,Judo,RS
ATH024,Laura Andersen,Football,MX
ATH025,Luis Petit,Basketball,GR
ATH026,Petra Popescu,Swimming,DE
ATH027,Lucas Garcia,Athletics,BR
ATH028,Chris Garcia,Cycling,GR
ATH029,Julia Garcia,Judo,BR
ATH030,Max Smith,Cycling,BE
ATH031,Mia Romano,Cycling,BE
ATH032,Ana Popescu,Judo,KR
ATH033,Lucas Leclerc,Tennis,CZ
ATH034,Maria Kowalski,Swimming,IN
ATH035,Katarina Martinez,Judo,HR
ATH036,Lena Garcia,Judo,CN
ATH037,Felix Yamamoto,Boxing,BR
ATH038,Felix Romano,Basketball,MX
ATH039,Rafael Nkosi,Athletics,ES
ATH040,Max Morin,Basketball,GR
ATH041,Mia Morin,Boxing,PL
ATH042,Rafael Leclerc,Judo,RS
ATH043,Oliver Ferreira,Judo,DK
ATH044,Elena Martinez,Tennis,FR
ATH045,Mia Ferreira,Athletics,CA
ATH046,Marco Russo,Judo,CZ
ATH047,Maria Leclerc,Football,NO
ATH048,Viktor Martinez48,Tennis,CZ
ATH049,Sofia Popescu,Cycling,DK
ATH050,Lena Eriksson,Cycling,HR
ATH051,Oliver Yamamoto,Football,CH
ATH052,Sara Morin,Judo,MX
ATH053,Lucas Popescu,Basketball,DK
ATH054,Mia Romano54,Football,AT
ATH055,Petra Leclerc55,Swimming,RU
ATH056,Sara Santos,Athletics,JP
ATH057,Clara Leclerc,Swimming,GB
ATH058,Ivan Kowalski58,Judo,NO
ATH059,Maria Hansen,Judo,CZ
ATH060,Laura Yamamoto,Tennis,BR
ATH061,Carlos Eriksson,Boxing,IN
ATH062,Emma Petit,Swimming,US
ATH063,Chris Morin,Tennis,IN
ATH064,Petra Rossi,Basketball,CA
ATH065,Maria Andersen,Athletics,AR
ATH066,Nina Yamamoto,Boxing,PL
ATH067,Thomas Hansen,Tennis,NL
ATH068,David Novak,Swimming,AU
