author_id,full_name,genre,country
AU001,Ava Thomas,Action,Sweden
AU002,Alfie Turner,Romance,United States
AU003,Lewis Taylor,Action,United Kingdom
AU004,Freddie Evans,Documentary,Sweden
AU005,Grace Brown,Action,Canada
AU006,Isabella Lee,Action,France
AU007,William Smith,Documentary,Italy
AU008,Jacob White,Drama,Austria
AU009,Poppy White,Drama,Germany
AU010,Charlie Lee,Thriller,Czech Republic
AU011,Alice Wilson,Sci-Fi,Portugal
AU012,Grace Roberts,Sci-Fi,Sweden
AU013,Jacob Watson,Thriller,Spain
AU014,Evie Brown,Romance,Norway
AU015,George Turner,Action,Denmark
AU016,Thomas Turner,Action,United States
AU017,Isabella Jones,Thriller,Denmark
AU018,Samuel Clarke,Documentary,South Africa
AU019,Sophia Taylor,Comedy,Canada
AU020,Evie Robinson,Action,Netherlands
AU021,Amelia Turner,Romance,France
AU022,Charlotte Lee,Documentary,United Kingdom
AU023,Mia Wilson,Horror,India
AU024,Jessica Taylor,Documentary,Italy
AU025,Noah King,Thriller,Austria
AU026,Joshua Wilson,Thriller,Argentina
AU027,Charlotte Clarke,Romance,Spain
AU028,Daniel Robinson,Comedy,Serbia
AU029,Jack Green,Romance,Spain
AU030,Charlie Scott,Action,Switzerland
AU031,Isabella Clarke,Comedy,France
AU032,Isabella Turner,Documentary,Mexico
AU033,Sophia Green,Comedy,Serbia
AU034,Hannah Johnson,Horror,South Korea
AU035,Benjamin Harris,Drama,Switzerland
AU036,Sophia Lewis,Romance,Italy
AU037,Noah Smith,Drama,China
AU038,Charlie Cooper,Documentary,Argentina
AU039,Charlotte Wilson,Thriller,South Korea
AU040,Daniel Harris AU1,Thriller,Belgium
AU041,Isabella Taylor,Romance,France
AU042,Charlotte Watson,Horror,Switzerland
AU043,Samuel Wright,Comedy,Sweden
AU044,Jessica Scott,Sci-Fi,Germany
AU045,Samuel Jones,Romance,Spain
AU046,Charlie Jackson,Action,Belgium
AU047,Charlie Taylor AU2,Documentary,Mexico
AU048,Lily Lewis,Comedy,South Africa
AU049,Benjamin Clarke,Sci-Fi,Poland
AU050,Lewis Cooper,Horror,South Africa
AU051,Harry Lewis,Horror,Switzerland
AU052,Grace Scott,Horror,Belgium
AU053,Evie Jackson,Horror,Serbia
AU054,Jessica Jones,Thriller,Japan
AU055,Lewis Clarke,Documentary,Austria
AU056,Daniel Harris,Drama,Norway
AU057,Oliver Evans,Documentary,Serbia
AU058,Olivia Smith,Thriller,Croatia
AU059,Thomas Taylor,Romance,South Africa
AU060,Mia Hill,Documentary,Denmark
AU061,Benjamin Martin,Horror,Argentina
AU062,Oliver King,Sci-Fi,Austria
AU063,Evie Scott,Documentary,Poland
AU064,Henry Lewis AU3,Sci-Fi,Norway
AU065,Lily Thomas,Drama,Australia
AU066,Grace Martin,Drama,Netherlands
AU067,Jack Johnson,Comedy,Belgium
AU068,Evie Cooper,Thriller,Croatia
AU069,Sophia Lee,Sci-Fi,Poland
AU070,Amelia Evans,Action,South Africa
AU071,William King,Romance,India
AU072,Lewis Lee,Drama,United Kingdom
AU073,Henry Lee,Drama,Croatia
AU074,Olivia Scott,Drama,Sweden
AU075,Charlotte Scott,Sci-Fi,India
AU076,Noah Johnson,Horror,Netherlands
AU077,Henry Wright,Comedy,Argentina
AU078,Sophie King,Romance,United Kingdom
AU079,Ava Johnson,Drama,Japan
AU080,Poppy Taylor,Horror,Belgium
AU081,Noah Green,Action,Denmark
AU082,Lewis Johnson,Romance,United States
AU083,Charlotte Green,Drama,Serbia
AU084,Olivia Lee,Comedy,Australia
AU085,Samuel Evans,Thriller,India
AU086,Sophia Scott,Documentary,United States
AU087,Charlotte Lewis,Action,Netherlands
AU088,Thomas Martin,Comedy,Denmark
AU089,Grace Turner,Romance,Spain
AU090,Joshua Lee,Thriller,Czech Republic
AU091,Amelia Davies,Comedy,Russia
AU092,Jacob Evans AU4,Documentary,Japan
