brand,brand_full,total_products,total_sales_usd,avg_sales_usd
3M,3M Company,11,233792464,21253860
Adidas,Adidas AG,9,231801814,25755757
Apple,Apple Inc.,10,254910676,25491067
Bosch,Robert Bosch GmbH,5,102943114,20588622
Colgate,Colgate-Palmolive Company,7,186428186,26632598
H&M,Hennes & Mauritz AB,9,206424059,22936006
Heinz,The Kraft Heinz Company,9,196851004,21872333
IKEA,Inter IKEA Group,12,319758155,26646512
LG,LG Electronics Inc.,15,489793598,32652906
Nestlé,Nestlé S.A.,8,234056059,29257007
Nike,"Nike, Inc.",14,411068091,29362006
P&G,Procter & Gamble Company,15,394764967,26317664
Panasonic,Panasonic Holdings Corporation,9,204749618,22749957
Philips,Koninklijke Philips N.V.,10,221254677,22125467
Puma,Puma SE,12,313363439,26113619
Samsung,"Samsung Electronics Co., Ltd.",7,197629260,28232751
Siemens,Siemens AG,5,165816710,33163342
Sony,Sony Corporation,10,233016212,23301621
Unilever,Unilever PLC,13,450604389,34661876
Zara,Inditex S.A.,10,233629641,23362964
