city,country,year,annual_avg_celsius
Madrid,Spain,2023,20.8
Paris,France,2023,14.4
Berlin,Germany,2023,12.0
Milan,Italy,2023,17.2
London,UK,2023,12.4
Amsterdam,Netherlands,2023,11.8
Warsaw,Poland,2023,11.7
Vienna,Austria,2023,15.3
Lisbon,Portugal,2023,22.2
Stockholm,Sweden,2023,6.8
Copenhagen,Denmark,2023,9.6
Brussels,Belgium,2023,13.4
Budapest,Hungary,2023,15.6
Prague,Czech Republic,2023,13.7
Oslo,Norway,2023,6.2
Helsinki,Finland,2023,6.2
Athens,Greece,2023,22.8
Dublin,Ireland,2023,11.0
Zurich,Switzerland,2023,15.8
Barcelona,Spain,2023,20.2
Lyon,France,2023,16.9
Hamburg,Germany,2023,11.0
Turin,Italy,2023,17.2
Rotterdam,Netherlands,2023,12.3
Krakow,Poland,2023,13.6
Porto,Portugal,2023,20.3
Gothenburg,Sweden,2023,7.9
Aarhus,Denmark,2023,9.0
Ghent,Belgium,2023,13.1
Salzburg,Austria,2023,15.4
