city,country,year,annual_avg_fahrenheit
Madrid,Spain,2023,69.4
Paris,France,2023,57.9
Berlin,Germany,2023,53.6
Milan,Italy,2023,63.0
London,UK,2023,54.3
Amsterdam,Netherlands,2023,53.2
Warsaw,Poland,2023,53.1
Vienna,Austria,2023,59.5
Lisbon,Portugal,2023,72.0
Stockholm,Sweden,2023,44.2
Copenhagen,Denmark,2023,49.3
Brussels,Belgium,2023,56.1
Budapest,Hungary,2023,60.1
Prague,Czech Republic,2023,56.7
Oslo,Norway,2023,43.2
Helsinki,Finland,2023,43.2
Athens,Greece,2023,73.0
Dublin,Ireland,2023,51.8
Zurich,Switzerland,2023,60.4
Barcelona,Spain,2023,68.4
Lyon,France,2023,62.4
Hamburg,Germany,2023,51.8
Turin,Italy,2023,63.0
Rotterdam,Netherlands,2023,54.1
Krakow,Poland,2023,56.5
Porto,Portugal,2023,68.5
Gothenburg,Sweden,2023,46.2
Aarhus,Denmark,2023,48.2
Ghent,Belgium,2023,55.6
Salzburg,Austria,2023,59.7
