city,country,month,avg_temp_celsius
Madrid,Spain,2023-01,8.6
Madrid,Spain,2023-02,11.0
Madrid,Spain,2023-03,14.8
Madrid,Spain,2023-04,20.5
Madrid,Spain,2023-05,26.2
Madrid,Spain,2023-06,31.9
Madrid,Spain,2023-07,32.9
Madrid,Spain,2023-08,30.5
Madrid,Spain,2023-09,26.4
Madrid,Spain,2023-10,21.6
Madrid,Spain,2023-11,14.5
Madrid,Spain,2023-12,10.5
Paris,France,2023-01,0.4
Paris,France,2023-02,2.1
Paris,France,2023-03,6.4
Paris,France,2023-04,14.2
Paris,France,2023-05,21.7
Paris,France,2023-06,27.1
Paris,France,2023-07,29.1
Paris,France,2023-08,27.0
Paris,France,2023-09,21.4
Paris,France,2023-10,14.3
Paris,France,2023-11,7.4
Paris,France,2023-12,2.0
Berlin,Germany,2023-01,-4.4
Berlin,Germany,2023-02,-1.7
Berlin,Germany,2023-03,4.1
Berlin,Germany,2023-04,12.1
Berlin,Germany,2023-05,20.4
Berlin,Germany,2023-06,25.9
Berlin,Germany,2023-07,27.2
Berlin,Germany,2023-08,25.9
Berlin,Germany,2023-09,20.6
Berlin,Germany,2023-10,12.6
Berlin,Germany,2023-11,3.5
Berlin,Germany,2023-12,-1.8
Milan,Italy,2023-01,2.9
Milan,Italy,2023-02,5.9
Milan,Italy,2023-03,10.1
Milan,Italy,2023-04,17.3
Milan,Italy,2023-05,23.2
Milan,Italy,2023-06,29.6
Milan,Italy,2023-07,31.0
Milan,Italy,2023-08,29.2
Milan,Italy,2023-09,24.7
Milan,Italy,2023-10,17.0
Milan,Italy,2023-11,9.9
Milan,Italy,2023-12,5.2
London,UK,2023-01,-3.6
London,UK,2023-02,-1.8
London,UK,2023-03,4.3
London,UK,2023-04,12.3
London,UK,2023-05,20.0
London,UK,2023-06,26.3
London,UK,2023-07,28.9
London,UK,2023-08,26.1
London,UK,2023-09,19.8
London,UK,2023-10,12.1
London,UK,2023-11,4.8
London,UK,2023-12,-0.3
