city,country,month,avg_temp_fahrenheit
Madrid,Spain,2023-01,47.5
Madrid,Spain,2023-02,51.8
Madrid,Spain,2023-03,58.6
Madrid,Spain,2023-04,68.9
Madrid,Spain,2023-05,79.2
Madrid,Spain,2023-06,89.4
Madrid,Spain,2023-07,91.2
Madrid,Spain,2023-08,86.9
Madrid,Spain,2023-09,79.5
Madrid,Spain,2023-10,70.9
Madrid,Spain,2023-11,58.1
Madrid,Spain,2023-12,50.9
Paris,France,2023-01,32.7
Paris,France,2023-02,35.8
Paris,France,2023-03,43.5
Paris,France,2023-04,57.6
Paris,France,2023-05,71.1
Paris,France,2023-06,80.8
Paris,France,2023-07,84.4
Paris,France,2023-08,80.6
Paris,France,2023-09,70.5
Paris,France,2023-10,57.7
Paris,France,2023-11,45.3
Paris,France,2023-12,35.6
Berlin,Germany,2023-01,24.1
Berlin,Germany,2023-02,28.9
Berlin,Germany,2023-03,39.4
Berlin,Germany,2023-04,53.8
Berlin,Germany,2023-05,68.7
Berlin,Germany,2023-06,78.6
Berlin,Germany,2023-07,81.0
Berlin,Germany,2023-08,78.6
Berlin,Germany,2023-09,69.1
Berlin,Germany,2023-10,54.7
Berlin,Germany,2023-11,38.3
Berlin,Germany,2023-12,28.8
Milan,Italy,2023-01,37.2
Milan,Italy,2023-02,42.6
Milan,Italy,2023-03,50.2
Milan,Italy,2023-04,63.1
Milan,Italy,2023-05,73.8
Milan,Italy,2023-06,85.3
Milan,Italy,2023-07,87.8
Milan,Italy,2023-08,84.6
Milan,Italy,2023-09,76.5
Milan,Italy,2023-10,62.6
Milan,Italy,2023-11,49.8
Milan,Italy,2023-12,41.4
London,UK,2023-01,25.5
London,UK,2023-02,28.8
London,UK,2023-03,39.7
London,UK,2023-04,54.1
London,UK,2023-05,68.0
London,UK,2023-06,79.3
London,UK,2023-07,84.0
London,UK,2023-08,79.0
London,UK,2023-09,67.6
London,UK,2023-10,53.8
London,UK,2023-11,40.6
London,UK,2023-12,31.5
Amsterdam,Netherlands,2023-01,24.3
Amsterdam,Netherlands,2023-02,28.0
Amsterdam,Netherlands,2023-03,38.8
Amsterdam,Netherlands,2023-04,53.1
Amsterdam,Netherlands,2023-05,69.1
Amsterdam,Netherlands,2023-06,79.9
Amsterdam,Netherlands,2023-07,81.5
Amsterdam,Netherlands,2023-08,77.7
Amsterdam,Netherlands,2023-09,68.0
Amsterdam,Netherlands,2023-10,52.5
Amsterdam,Netherlands,2023-11,39.9
Amsterdam,Netherlands,2023-12,27.0
Warsaw,Poland,2023-01,23.5
Warsaw,Poland,2023-02,28.4
Warsaw,Poland,2023-03,39.6
Warsaw,Poland,2023-04,52.7
Warsaw,Poland,2023-05,67.3
Warsaw,Poland,2023-06,77.4
Warsaw,Poland,2023-07,81.3
Warsaw,Poland,2023-08,77.9
Warsaw,Poland,2023-09,68.0
Warsaw,Poland,2023-10,53.6
Warsaw,Poland,2023-11,40.1
Warsaw,Poland,2023-12,27.7
Vienna,Austria,2023-01,34.0
Vienna,Austria,2023-02,37.2
Vienna,Austria,2023-03,45.7
Vienna,Austria,2023-04,60.1
Vienna,Austria,2023-05,72.1
Vienna,Austria,2023-06,81.7
Vienna,Austria,2023-07,86.4
Vienna,Austria,2023-08,82.2
Vienna,Austria,2023-09,72.0
Vienna,Austria,2023-10,60.1
Vienna,Austria,2023-11,45.3
Vienna,Austria,2023-12,37.0
Lisbon,Portugal,2023-01,50.7
Lisbon,Portugal,2023-02,54.9
Lisbon,Portugal,2023-03,61.0
Lisbon,Portugal,2023-04,70.9
Lisbon,Portugal,2023-05,83.3
Lisbon,Portugal,2023-06,90.9
Lisbon,Portugal,2023-07,93.0
Lisbon,Portugal,2023-08,89.8
Lisbon,Portugal,2023-09,81.5
Lisbon,Portugal,2023-10,72.0
Lisbon,Portugal,2023-11,61.2
Lisbon,Portugal,2023-12,53.6
Stockholm,Sweden,2023-01,11.5
