employee_id,department,gender_code
EMP0001,Sales,1
EMP0002,Sales,0
EMP0003,Sales,1
EMP0004,Sales,0
EMP0005,Product,0
EMP0006,HR,2
EMP0007,Engineering,0
EMP0008,Marketing,1
EMP0009,Engineering,1
EMP0010,Marketing,0
EMP0011,Legal,1
EMP0012,Marketing,0
EMP0013,Finance,1
EMP0014,HR,1
EMP0015,Marketing,1
EMP0016,Legal,1
EMP0017,Sales,1
EMP0018,Marketing,0
EMP0019,Engineering,0
EMP0020,Marketing,0
EMP0021,Marketing,0
EMP0022,Product,1
EMP0023,Operations,0
EMP0024,Legal,0
EMP0025,Finance,1
EMP0026,Engineering,1
EMP0027,Engineering,1
EMP0028,Operations,1
EMP0029,Legal,1
EMP0030,Engineering,0
EMP0031,HR,1
EMP0032,Sales,1
EMP0033,Engineering,0
EMP0034,Engineering,0
EMP0035,Finance,0
EMP0036,Operations,1
EMP0037,Sales,1
EMP0038,Operations,1
EMP0039,Sales,1
EMP0040,Finance,1
EMP0041,HR,1
EMP0042,Sales,0
EMP0043,Operations,1
EMP0044,HR,0
EMP0045,Legal,0
EMP0046,Product,0
EMP0047,HR,1
EMP0048,Sales,1
EMP0049,HR,0
EMP0050,Marketing,0
EMP0051,HR,0
EMP0052,Sales,1
EMP0053,Legal,0
EMP0054,Legal,0
EMP0055,HR,0
EMP0056,Marketing,1
EMP0057,Product,0
EMP0058,Sales,0
EMP0059,Operations,0
EMP0060,Marketing,1
EMP0061,Finance,0
EMP0062,HR,1
EMP0063,Product,0
EMP0064,Operations,1
EMP0065,Engineering,0
EMP0066,Finance,1
EMP0067,Product,1
EMP0068,Operations,1
EMP0069,Marketing,1
EMP0070,Operations,1
EMP0071,Finance,1
EMP0072,Operations,2
EMP0073,Engineering,1
EMP0074,Engineering,1
EMP0075,Operations,0
EMP0076,Legal,1
EMP0077,Operations,0
EMP0078,Marketing,1
EMP0079,HR,0
EMP0080,Sales,0
EMP0081,Sales,0
EMP0082,HR,1
EMP0083,Marketing,0
EMP0084,Product,0
EMP0085,Product,0
EMP0086,Operations,1
EMP0087,Sales,1
EMP0088,Legal,1
EMP0089,Engineering,0
EMP0090,Product,1
EMP0091,Marketing,1
EMP0092,Finance,0
EMP0093,Operations,0
EMP0094,Product,0
EMP0095,Engineering,1
EMP0096,Engineering,1
EMP0097,Engineering,0
EMP0098,HR,0
EMP0099,Product,1
EMP0100,Engineering,1
EMP0101,Engineering,1
EMP0102,Legal,1
EMP0103,Product,1
EMP0104,HR,0
EMP0105,Operations,1
EMP0106,Operations,2
EMP0107,Marketing,0
EMP0108,Operations,0
EMP0109,Engineering,0
EMP0110,HR,0
EMP0111,Legal,0
EMP0112,Marketing,0
EMP0113,Marketing,1
EMP0114,Sales,1
EMP0115,Engineering,1
EMP0116,Marketing,1
EMP0117,Product,1
EMP0118,Finance,1
EMP0119,Sales,1
EMP0120,Operations,0
EMP0121,Engineering,0
EMP0122,Engineering,0
EMP0123,Engineering,1
EMP0124,Engineering,1
EMP0125,Marketing,1
EMP0126,Operations,1
EMP0127,Product,0
EMP0128,Finance,1
EMP0129,Legal,1
EMP0130,Finance,1
EMP0131,Finance,1
EMP0132,Product,2
EMP0133,Legal,0
EMP0134,Marketing,0
EMP0135,Sales,0
EMP0136,Legal,0
EMP0137,Legal,0
EMP0138,Operations,1
EMP0139,Legal,2
EMP0140,Marketing,1
EMP0141,HR,1
EMP0142,Marketing,0
EMP0143,Sales,1
EMP0144,Sales,0
EMP0145,Marketing,0
EMP0146,Legal,1
EMP0147,Sales,1
EMP0148,Sales,1
EMP0149,Product,0
EMP0150,Legal,1
EMP0151,Operations,1
EMP0152,Operations,1
EMP0153,HR,2
EMP0154,Legal,0
EMP0155,Finance,0
EMP0156,Marketing,0
EMP0157,Sales,1
EMP0158,Product,1
EMP0159,Sales,0
EMP0160,Product,2
EMP0161,Marketing,1
EMP0162,Product,1
EMP0163,HR,1
EMP0164,Marketing,0
EMP0165,Legal,1
EMP0166,Marketing,1
EMP0167,Engineering,1
EMP0168,Finance,0
EMP0169,Engineering,1
EMP0170,Legal,0
EMP0171,HR,1
EMP0172,Marketing,1
EMP0173,Product,1
EMP0174,Finance,1
EMP0175,Product,0
EMP0176,Operations,0
EMP0177,Legal,1
EMP0178,Operations,1
EMP0179,Engineering,1
EMP0180,Product,0
EMP0181,Product,0
EMP0182,HR,1
EMP0183,Product,1
EMP0184,HR,1
EMP0185,Legal,0
EMP0186,Product,0
EMP0187,Engineering,1
EMP0188,Sales,0
EMP0189,Sales,1
EMP0190,Engineering,1
EMP0191,HR,1
EMP0192,Marketing,1
EMP0193,Marketing,0
EMP0194,Sales,1
EMP0195,Product,0
EMP0196,Product,0
EMP0197,Sales,1
EMP0198,HR,0
EMP0199,Sales,0
EMP0200,Sales,1
EMP0201,HR,1
EMP0202,HR,0
EMP0203,Engineering,0
EMP0204,Finance,1
EMP0205,Legal,0
EMP0206,HR,0
EMP0207,Sales,0
EMP0208,Operations,1
EMP0209,Marketing,0
EMP0210,Finance,1
EMP0211,Legal,1
EMP0212,Engineering,1
EMP0213,Legal,0
EMP0214,Operations,0
EMP0215,Finance,1
EMP0216,Marketing,1
EMP0217,Engineering,1
EMP0218,Operations,0
EMP0219,Engineering,0
EMP0220,Sales,0
EMP0221,Marketing,0
EMP0222,Engineering,1
EMP0223,HR,0
EMP0224,Finance,1
EMP0225,Finance,2
EMP0226,Marketing,2
EMP0227,HR,1
EMP0228,Operations,0
EMP0229,Legal,0
EMP0230,Operations,0
EMP0231,HR,0
EMP0232,Legal,0
EMP0233,Operations,1
EMP0234,Engineering,0
EMP0235,HR,1
EMP0236,Operations,0
EMP0237,Legal,0
EMP0238,HR,1
EMP0239,Engineering,0
EMP0240,Product,1
EMP0241,Finance,1
EMP0242,Legal,1
EMP0243,Sales,1
EMP0244,Product,0
EMP0245,Sales,1
EMP0246,Marketing,0
EMP0247,Product,1
EMP0248,Marketing,0
EMP0249,Legal,1
EMP0250,Finance,0
