employee_id,department,gender
EMP0001,Sales,Male
EMP0002,Sales,Female
EMP0003,Sales,Male
EMP0004,Sales,Female
EMP0005,Product,Female
EMP0006,HR,Non-binary
EMP0007,Engineering,Female
EMP0008,Marketing,Male
EMP0009,Engineering,Male
EMP0010,Marketing,Female
EMP0011,Legal,Male
EMP0012,Marketing,Female
EMP0013,Finance,Male
EMP0014,HR,Male
EMP0015,Marketing,Male
EMP0016,Legal,Male
EMP0017,Sales,Male
EMP0018,Marketing,Female
EMP0019,Engineering,Female
EMP0020,Marketing,Female
EMP0021,Marketing,Female
EMP0022,Product,Male
EMP0023,Operations,Female
EMP0024,Legal,Female
EMP0025,Finance,Male
EMP0026,Engineering,Male
EMP0027,Engineering,Male
EMP0028,Operations,Male
EMP0029,Legal,Male
EMP0030,Engineering,Female
EMP0031,HR,Male
EMP0032,Sales,Male
EMP0033,Engineering,Female
EMP0034,Engineering,Female
EMP0035,Finance,Female
EMP0036,Operations,Male
EMP0037,Sales,Male
EMP0038,Operations,Male
EMP0039,Sales,Male
EMP0040,Finance,Male
EMP0041,HR,Male
EMP0042,Sales,Female
EMP0043,Operations,Male
EMP0044,HR,Female
EMP0045,Legal,Female
EMP0046,Product,Female
EMP0047,HR,Male
EMP0048,Sales,Male
EMP0049,HR,Female
EMP0050,Marketing,Female
EMP0051,HR,Female
EMP0052,Sales,Male
EMP0053,Legal,Female
EMP0054,Legal,Female
EMP0055,HR,Female
EMP0056,Marketing,Male
EMP0057,Product,Female
EMP0058,Sales,Female
EMP0059,Operations,Female
EMP0060,Marketing,Male
EMP0061,Finance,Female
EMP0062,HR,Male
EMP0063,Product,Female
EMP0064,Operations,Male
EMP0065,Engineering,Female
EMP0066,Finance,Male
EMP0067,Product,Male
EMP0068,Operations,Male
EMP0069,Marketing,Male
EMP0070,Operations,Male
EMP0071,Finance,Male
EMP0072,Operations,Non-binary
EMP0073,Engineering,Male
EMP0074,Engineering,Male
EMP0075,Operations,Female
EMP0076,Legal,Male
EMP0077,Operations,Female
EMP0078,Marketing,Male
EMP0079,HR,Female
EMP0080,Sales,Female
EMP0081,Sales,Female
EMP0082,HR,Male
EMP0083,Marketing,Female
EMP0084,Product,Female
EMP0085,Product,Female
EMP0086,Operations,Male
EMP0087,Sales,Male
EMP0088,Legal,Male
EMP0089,Engineering,Female
EMP0090,Product,Male
EMP0091,Marketing,Male
EMP0092,Finance,Female
EMP0093,Operations,Female
EMP0094,Product,Female
EMP0095,Engineering,Male
EMP0096,Engineering,Male
EMP0097,Engineering,Female
EMP0098,HR,Female
EMP0099,Product,Male
EMP0100,Engineering,Male
EMP0101,Engineering,Male
EMP0102,Legal,Male
EMP0103,Product,Male
EMP0104,HR,Female
EMP0105,Operations,Male
EMP0106,Operations,Non-binary
EMP0107,Marketing,Female
EMP0108,Operations,Female
EMP0109,Engineering,Female
EMP0110,HR,Female
EMP0111,Legal,Female
EMP0112,Marketing,Female
EMP0113,Marketing,Male
EMP0114,Sales,Male
EMP0115,Engineering,Male
EMP0116,Marketing,Male
EMP0117,Product,Male
EMP0118,Finance,Male
EMP0119,Sales,Male
EMP0120,Operations,Female
EMP0121,Engineering,Female
EMP0122,Engineering,Female
EMP0123,Engineering,Male
EMP0124,Engineering,Male
EMP0125,Marketing,Male
EMP0126,Operations,Male
EMP0127,Product,Female
EMP0128,Finance,Male
EMP0129,Legal,Male
EMP0130,Finance,Male
EMP0131,Finance,Male
EMP0132,Product,Non-binary
EMP0133,Legal,Female
EMP0134,Marketing,Female
EMP0135,Sales,Female
EMP0136,Legal,Female
EMP0137,Legal,Female
EMP0138,Operations,Male
EMP0139,Legal,Non-binary
EMP0140,Marketing,Male
EMP0141,HR,Male
EMP0142,Marketing,Female
EMP0143,Sales,Male
EMP0144,Sales,Female
EMP0145,Marketing,Female
EMP0146,Legal,Male
EMP0147,Sales,Male
EMP0148,Sales,Male
EMP0149,Product,Female
EMP0150,Legal,Male
EMP0151,Operations,Male
EMP0152,Operations,Male
EMP0153,HR,Non-binary
EMP0154,Legal,Female
EMP0155,Finance,Female
EMP0156,Marketing,Female
EMP0157,Sales,Male
EMP0158,Product,Male
EMP0159,Sales,Female
EMP0160,Product,Non-binary
EMP0161,Marketing,Male
EMP0162,Product,Male
EMP0163,HR,Male
EMP0164,Marketing,Female
EMP0165,Legal,Male
EMP0166,Marketing,Male
EMP0167,Engineering,Male
EMP0168,Finance,Female
EMP0169,Engineering,Male
EMP0170,Legal,Female
EMP0171,HR,Male
EMP0172,Marketing,Male
EMP0173,Product,Male
EMP0174,Finance,Male
EMP0175,Product,Female
EMP0176,Operations,Female
EMP0177,Legal,Male
EMP0178,Operations,Male
EMP0179,Engineering,Male
EMP0180,Product,Female
EMP0181,Product,Female
EMP0182,HR,Male
EMP0183,Product,Male
EMP0184,HR,Male
EMP0185,Legal,Female
EMP0186,Product,Female
EMP0187,Engineering,Male
