product_id,product_name,brand_abbr,category,annual_sales_usd
BP001,Product 001,Unilever,Electronics,47832719
BP002,Product 002,Bosch,Food & Beverage,21054088
BP003,Product 003,3M,Apparel,1117677
BP004,Product 004,3M,Home & Garden,27579791
BP005,Product 005,Sony,Sports Equipment,15279405
BP006,Product 006,LG,Electronics,31167243
BP007,Product 007,LG,Food & Beverage,43667061
BP008,Product 008,Philips,Apparel,33645413
BP009,Product 009,Nike,Home & Garden,34349822
BP010,Product 010,P&G,Sports Equipment,28083084
BP011,Product 011,Panasonic,Electronics,31890133
BP012,Product 012,Unilever,Food & Beverage,30854421
BP013,Product 013,3M,Apparel,9906758
BP014,Product 014,IKEA,Home & Garden,12991645
BP015,Product 015,Heinz,Sports Equipment,34307468
BP016,Product 016,Philips,Electronics,4884875
BP017,Product 017,P&G,Food & Beverage,28046314
BP018,Product 018,Adidas,Apparel,34273698
BP019,Product 019,P&G,Home & Garden,372151
BP020,Product 020,Nike,Sports Equipment,48924456
BP021,Product 021,Nike,Electronics,39588723
BP022,Product 022,Colgate,Food & Beverage,44487874
BP023,Product 023,Panasonic,Apparel,10172069
BP024,Product 024,Zara,Home & Garden,36343530
BP025,Product 025,Panasonic,Sports Equipment,23360875
BP026,Product 026,Adidas,Electronics,37238550
BP027,Product 027,3M,Food & Beverage,25514138
BP028,Product 028,Zara,Apparel,21794112
BP029,Product 029,Nestlé,Home & Garden,47008327
BP030,Product 030,Unilever,Sports Equipment,38572690
BP031,Product 031,IKEA,Electronics,15874110
BP032,Product 032,H&M,Food & Beverage,3129120
BP033,Product 033,Adidas,Apparel,31940898
BP034,Product 034,IKEA,Home & Garden,26109306
BP035,Product 035,Philips,Sports Equipment,33440942
BP036,Product 036,Apple,Electronics,8672243
BP037,Product 037,Siemens,Food & Beverage,39806338
BP038,Product 038,Adidas,Apparel,6935354
BP039,Product 039,Zara,Home & Garden,6891538
BP040,Product 040,Siemens,Sports Equipment,30863924
BP041,Product 041,Samsung,Electronics,48682384
BP042,Product 042,Philips,Food & Beverage,27713199
BP043,Product 043,Philips,Apparel,5221638
BP044,Product 044,Panasonic,Home & Garden,17985377
BP045,Product 045,Adidas,Sports Equipment,42026230
BP046,Product 046,IKEA,Electronics,43809799
BP047,Product 047,Sony,Food & Beverage,22249663
BP048,Product 048,3M,Apparel,25701998
