product_id,product_name,brand,category,report_month,monthly_sales_eur
PROD001,Smart TV X45,Unilever,Electronics,2023-01,398291
PROD002,Coffee Blend X23,3M,Food & Beverage,2023-01,585649
PROD003,Smartphone N14 Plus,Samsung,Electronics,2023-01,384356
PROD004,Laptop Model H74,Heinz,Electronics,2023-01,75572
PROD005,Smartphone G93 Plus,3M,Electronics,2023-01,666024
PROD006,Air Purifier O85,P&G,Home & Garden,2023-01,442457
PROD007,Laptop Model W64,Adidas,Electronics,2023-01,170796
PROD008,Sports Jacket G53,LG,Apparel,2023-01,520940
PROD009,Tablet Pro D55,Puma,Electronics,2023-01,389798
PROD010,Resistance Bands Z15,Zara,Sports Equipment,2023-01,343540
PROD011,Fitness Tracker M20,3M,Sports Equipment,2023-01,302646
PROD012,Training Tee S34,Sony,Apparel,2023-01,496811
PROD013,Laptop Model Y47,Sony,Electronics,2023-01,122993
PROD014,Energy Drink Pack M45,Zara,Food & Beverage,2023-01,247635
PROD015,Sports Jacket L55,Nestlé,Apparel,2023-01,178669
PROD016,Running Shoes T91,Bosch,Apparel,2023-01,497938
PROD017,Yoga Mat Pro F69,IKEA,Sports Equipment,2023-01,288194
PROD018,Sports Jacket V51,Apple,Apparel,2023-01,200565
PROD019,Energy Drink Pack Z50,IKEA,Food & Beverage,2023-01,116137
PROD020,Running Shoes G82,Adidas,Apparel,2023-01,205598
PROD021,Sparkling Water M92,Zara,Food & Beverage,2023-01,288565
PROD022,Protein Bar E41,3M,Food & Beverage,2023-01,190887
PROD023,Resistance Bands X84,H&M,Sports Equipment,2023-01,967478
PROD024,Dumbbells L38kg,Philips,Sports Equipment,2023-01,733873
PROD025,Dumbbells C16kg,LG,Sports Equipment,2023-01,18322
PROD026,Coffee Blend Z97,H&M,Food & Beverage,2023-01,44175
PROD027,Fitness Tracker M58,Heinz,Sports Equipment,2023-01,223644
PROD028,Smart Thermostat R11,LG,Home & Garden,2023-01,174703
PROD029,Resistance Bands Y92,Adidas,Sports Equipment,2023-01,350761
PROD030,Wireless Headphones N30,Zara,Electronics,2023-01,336571
PROD031,Wireless Headphones Q32,Siemens,Electronics,2023-01,2162962
PROD032,Wireless Headphones U74,Heinz,Electronics,2023-01,89245
PROD033,Coffee Blend L30,3M,Food & Beverage,2023-01,176482
PROD034,Fitness Tracker T51,Panasonic,Sports Equipment,2023-01,1990558
PROD035,Smart TV L49,Unilever,Electronics,2023-01,520606
PROD036,Laptop Model S20,Sony,Electronics,2023-01,522452
PROD037,Robot Vacuum Y78,Philips,Home & Garden,2023-01,174244
PROD038,Sparkling Water R31,P&G,Food & Beverage,2023-01,51494
PROD039,Dumbbells G79kg,Nestlé,Sports Equipment,2023-01,326852
PROD040,Performance Shorts V93,Puma,Apparel,2023-01,310838
PROD041,Cordless Drill D41,Unilever,Home & Garden,2023-01,73903
PROD042,Wireless Headphones A85,3M,Electronics,2023-01,141605
PROD043,Coffee Blend A19,Apple,Food & Beverage,2023-01,240962
PROD044,Energy Drink Pack B52,Sony,Food & Beverage,2023-01,114118
PROD045,Yoga Mat Pro I95,Panasonic,Sports Equipment,2023-01,233570
PROD046,Coffee Blend X83,Colgate,Food & Beverage,2023-01,296208
PROD047,Air Purifier Z70,H&M,Home & Garden,2023-01,264108
PROD048,Energy Drink Pack D94,H&M,Food & Beverage,2023-01,177753
PROD049,Performance Shorts N69,Apple,Apparel,2023-01,494094
PROD050,Smart TV M53,LG,Electronics,2023-01,674868
PROD051,Coffee Blend G78,Zara,Food & Beverage,2023-01,350051
PROD052,Sparkling Water F45,Zara,Food & Beverage,2023-01,125413
PROD053,Energy Drink Pack O80,LG,Food & Beverage,2023-01,540533
PROD054,Smartphone A21 Plus,Unilever,Electronics,2023-01,176000
PROD055,Sparkling Water P71,Nestlé,Food & Beverage,2023-01,625815
PROD056,Robot Vacuum F58,Samsung,Home & Garden,2023-01,88983
PROD057,Smart Thermostat Z68,Nike,Home & Garden,2023-01,629919
PROD058,Cordless Drill E34,Nike,Home & Garden,2023-01,266388
PROD059,Energy Drink Pack S79,Apple,Food & Beverage,2023-01,79266
PROD060,Running Shoes B84,Panasonic,Apparel,2023-01,185675
PROD061,Yoga Mat Pro B75,Sony,Sports Equipment,2023-01,300857
PROD062,Energy Drink Pack T18,Unilever,Food & Beverage,2023-01,355801
PROD063,Robot Vacuum S41,Colgate,Home & Garden,2023-01,102778
PROD064,Fitness Tracker T20,H&M,Sports Equipment,2023-01,89492
