product_id,product_name,brand,category,report_month,monthly_sales_usd
PROD001,Smart TV X45,Unilever,Electronics,2023-01,433263
PROD002,Coffee Blend X23,3M,Food & Beverage,2023-01,636113
PROD003,Smartphone N14 Plus,Samsung,Electronics,2023-01,394685
PROD004,Laptop Model H74,Heinz,Electronics,2023-01,86859
PROD005,Smartphone G93 Plus,3M,Electronics,2023-01,753504
PROD006,Air Purifier O85,P&G,Home & Garden,2023-01,431703
PROD007,Laptop Model W64,Adidas,Electronics,2023-01,164301
PROD008,Sports Jacket G53,LG,Apparel,2023-01,549988
PROD009,Tablet Pro D55,Puma,Electronics,2023-01,397555
PROD010,Resistance Bands Z15,Zara,Sports Equipment,2023-01,380580
PROD011,Fitness Tracker M20,3M,Sports Equipment,2023-01,311043
PROD012,Training Tee S34,Sony,Apparel,2023-01,533766
PROD013,Laptop Model Y47,Sony,Electronics,2023-01,147289
PROD014,Energy Drink Pack M45,Zara,Food & Beverage,2023-01,243711
PROD015,Sports Jacket L55,Nestlé,Apparel,2023-01,191662
PROD016,Running Shoes T91,Bosch,Apparel,2023-01,522605
PROD017,Yoga Mat Pro F69,IKEA,Sports Equipment,2023-01,303418
PROD018,Sports Jacket V51,Apple,Apparel,2023-01,232856
PROD019,Energy Drink Pack Z50,IKEA,Food & Beverage,2023-01,140702
PROD020,Running Shoes G82,Adidas,Apparel,2023-01,245016
PROD021,Sparkling Water M92,Zara,Food & Beverage,2023-01,310076
PROD022,Protein Bar E41,3M,Food & Beverage,2023-01,230313
PROD023,Resistance Bands X84,H&M,Sports Equipment,2023-01,1021251
PROD024,Dumbbells L38kg,Philips,Sports Equipment,2023-01,802459
PROD025,Dumbbells C16kg,LG,Sports Equipment,2023-01,19262
PROD026,Coffee Blend Z97,H&M,Food & Beverage,2023-01,43625
PROD027,Fitness Tracker M58,Heinz,Sports Equipment,2023-01,271025
PROD028,Smart Thermostat R11,LG,Home & Garden,2023-01,193434
PROD029,Resistance Bands Y92,Adidas,Sports Equipment,2023-01,394634
PROD030,Wireless Headphones N30,Zara,Electronics,2023-01,380528
PROD031,Wireless Headphones Q32,Siemens,Electronics,2023-01,2603728
PROD032,Wireless Headphones U74,Heinz,Electronics,2023-01,98865
PROD033,Coffee Blend L30,3M,Food & Beverage,2023-01,208292
PROD034,Fitness Tracker T51,Panasonic,Sports Equipment,2023-01,2304110
PROD035,Smart TV L49,Unilever,Electronics,2023-01,544340
PROD036,Laptop Model S20,Sony,Electronics,2023-01,602372
PROD037,Robot Vacuum Y78,Philips,Home & Garden,2023-01,173261
PROD038,Sparkling Water R31,P&G,Food & Beverage,2023-01,53457
PROD039,Dumbbells G79kg,Nestlé,Sports Equipment,2023-01,362860
