product_id,product_name,brand,category,report_quarter,quarterly_sales_eur
PROD001,Smart TV X45,Unilever,Electronics,Q1-2023,1073856
PROD002,Coffee Blend X23,3M,Food & Beverage,Q1-2023,1831228
PROD003,Smartphone N14 Plus,Samsung,Electronics,Q1-2023,1180315
PROD004,Laptop Model H74,Heinz,Electronics,Q1-2023,226057
PROD005,Smartphone G93 Plus,3M,Electronics,Q1-2023,2074683
PROD006,Air Purifier O85,P&G,Home & Garden,Q1-2023,1282335
PROD007,Laptop Model W64,Adidas,Electronics,Q1-2023,482857
PROD008,Sports Jacket G53,LG,Apparel,Q1-2023,1510609
PROD009,Tablet Pro D55,Puma,Electronics,Q1-2023,1106312
PROD010,Resistance Bands Z15,Zara,Sports Equipment,Q1-2023,1072375
PROD011,Fitness Tracker M20,3M,Sports Equipment,Q1-2023,787104
PROD012,Training Tee S34,Sony,Apparel,Q1-2023,1490219
PROD013,Laptop Model Y47,Sony,Electronics,Q1-2023,411102
PROD014,Energy Drink Pack M45,Zara,Food & Beverage,Q1-2023,630419
PROD015,Sports Jacket L55,Nestlé,Apparel,Q1-2023,511087
PROD016,Running Shoes T91,Bosch,Apparel,Q1-2023,1555310
PROD017,Yoga Mat Pro F69,IKEA,Sports Equipment,Q1-2023,790619
PROD018,Sports Jacket V51,Apple,Apparel,Q1-2023,604488
PROD019,Energy Drink Pack Z50,IKEA,Food & Beverage,Q1-2023,391183
PROD020,Running Shoes G82,Adidas,Apparel,Q1-2023,573231
PROD021,Sparkling Water M92,Zara,Food & Beverage,Q1-2023,832838
PROD022,Protein Bar E41,3M,Food & Beverage,Q1-2023,588418
PROD023,Resistance Bands X84,H&M,Sports Equipment,Q1-2023,3113589
PROD024,Dumbbells L38kg,Philips,Sports Equipment,Q1-2023,2353285
PROD025,Dumbbells C16kg,LG,Sports Equipment,Q1-2023,57224
PROD026,Coffee Blend Z97,H&M,Food & Beverage,Q1-2023,120922
PROD027,Fitness Tracker M58,Heinz,Sports Equipment,Q1-2023,711516
PROD028,Smart Thermostat R11,LG,Home & Garden,Q1-2023,554287
PROD029,Resistance Bands Y92,Adidas,Sports Equipment,Q1-2023,962543
PROD030,Wireless Headphones N30,Zara,Electronics,Q1-2023,1047238
PROD031,Wireless Headphones Q32,Siemens,Electronics,Q1-2023,6145473
PROD032,Wireless Headphones U74,Heinz,Electronics,Q1-2023,267858
PROD033,Coffee Blend L30,3M,Food & Beverage,Q1-2023,525517
PROD034,Fitness Tracker T51,Panasonic,Sports Equipment,Q1-2023,5783975
PROD035,Smart TV L49,Unilever,Electronics,Q1-2023,1424116
PROD036,Laptop Model S20,Sony,Electronics,Q1-2023,1601433
