product_id,product_name,brand,category,annual_sales_eur,units_sold
PROD001,Smart TV X45,Unilever,Electronics,5140118,64615
PROD002,Coffee Blend X23,3M,Food & Beverage,8268333,47539
PROD003,Smartphone N14 Plus,Samsung,Electronics,5062956,36661
PROD004,Laptop Model H74,Heinz,Electronics,990723,8521
PROD005,Smartphone G93 Plus,3M,Electronics,8989448,205445
PROD006,Air Purifier O85,P&G,Home & Garden,5684385,129923
PROD007,Laptop Model W64,Adidas,Electronics,2129301,76831
PROD008,Sports Jacket G53,LG,Apparel,6503073,40623
PROD009,Tablet Pro D55,Puma,Electronics,5238511,44903
PROD010,Resistance Bands Z15,Zara,Sports Equipment,4882696,36388
PROD011,Fitness Tracker M20,3M,Sports Equipment,3744789,173596
PROD012,Training Tee S34,Sony,Apparel,6283448,35485
PROD013,Laptop Model Y47,Sony,Electronics,1744690,11288
PROD014,Energy Drink Pack M45,Zara,Food & Beverage,3093506,58388
PROD015,Sports Jacket L55,Nestlé,Apparel,2249145,46873
PROD016,Running Shoes T91,Bosch,Apparel,6619222,137209
PROD017,Yoga Mat Pro F69,IKEA,Sports Equipment,3787284,55666
PROD018,Sports Jacket V51,Apple,Apparel,2718126,26096
PROD019,Energy Drink Pack Z50,IKEA,Food & Beverage,1667269,18743
PROD020,Running Shoes G82,Adidas,Apparel,2815549,42722
PROD021,Sparkling Water M92,Zara,Food & Beverage,3669715,30988
PROD022,Protein Bar E41,3M,Food & Beverage,2764258,67340
PROD023,Resistance Bands X84,H&M,Sports Equipment,13252769,200637
PROD024,Dumbbells L38kg,Philips,Sports Equipment,9947048,127183
PROD025,Dumbbells C16kg,LG,Sports Equipment,242847,2613
PROD026,Coffee Blend Z97,H&M,Food & Beverage,551925,3759
PROD027,Fitness Tracker M58,Heinz,Sports Equipment,3057079,60052
PROD028,Smart Thermostat R11,LG,Home & Garden,2387850,23311
PROD029,Resistance Bands Y92,Adidas,Sports Equipment,4505607,39098
PROD030,Wireless Headphones N30,Zara,Electronics,4522189,175220
PROD031,Wireless Headphones Q32,Siemens,Electronics,30168841,256285
PROD032,Wireless Headphones U74,Heinz,Electronics,1199067,25992
PROD033,Coffee Blend L30,3M,Food & Beverage,2496564,86519
PROD034,Fitness Tracker T51,Panasonic,Sports Equipment,27990054,161207
PROD035,Smart TV L49,Unilever,Electronics,6943227,39367
PROD036,Laptop Model S20,Sony,Electronics,7057590,46858
PROD037,Robot Vacuum Y78,Philips,Home & Garden,2178656,31994
PROD038,Sparkling Water R31,P&G,Food & Beverage,702052,20528
PROD039,Dumbbells G79kg,Nestlé,Sports Equipment,4302559,33026
PROD040,Performance Shorts V93,Puma,Apparel,4058618,44947
PROD041,Cordless Drill D41,Unilever,Home & Garden,1068629,27982
PROD042,Wireless Headphones A85,3M,Electronics,1839931,18527
PROD043,Coffee Blend A19,Apple,Food & Beverage,3387331,142128
PROD044,Energy Drink Pack B52,Sony,Food & Beverage,1417047,8477
PROD045,Yoga Mat Pro I95,Panasonic,Sports Equipment,3299771,54462
PROD046,Coffee Blend X83,Colgate,Food & Beverage,4004147,31598
PROD047,Air Purifier Z70,H&M,Home & Garden,3771675,54458
PROD048,Energy Drink Pack D94,H&M,Food & Beverage,2195505,21235
PROD049,Performance Shorts N69,Apple,Apparel,6585610,61118
PROD050,Smart TV M53,LG,Electronics,8862977,182820
PROD051,Coffee Blend G78,Zara,Food & Beverage,5014709,28328
PROD052,Sparkling Water F45,Zara,Food & Beverage,1607880,11076
PROD053,Energy Drink Pack O80,LG,Food & Beverage,7557913,43918
PROD054,Smartphone A21 Plus,Unilever,Electronics,2206167,13389
PROD055,Sparkling Water P71,Nestlé,Food & Beverage,8757352,75405
PROD056,Robot Vacuum F58,Samsung,Home & Garden,1248222,7377
PROD057,Smart Thermostat Z68,Nike,Home & Garden,9071611,277461
