product_id,product_name,brand,category,annual_sales_gbp,units_sold
PROD001,Smart TV X45,Unilever,Electronics,4462300,64615
PROD002,Coffee Blend X23,3M,Food & Beverage,7178003,47539
PROD003,Smartphone N14 Plus,Samsung,Electronics,4395313,36661
PROD004,Laptop Model H74,Heinz,Electronics,860078,8521
PROD005,Smartphone G93 Plus,3M,Electronics,7804026,205445
PROD006,Air Purifier O85,P&G,Home & Garden,4934796,129923
PROD007,Laptop Model W64,Adidas,Electronics,1848514,76831
PROD008,Sports Jacket G53,LG,Apparel,5645525,40623
PROD009,Tablet Pro D55,Puma,Electronics,4547718,44903
PROD010,Resistance Bands Z15,Zara,Sports Equipment,4238824,36388
PROD011,Fitness Tracker M20,3M,Sports Equipment,3250970,173596
PROD012,Training Tee S34,Sony,Apparel,5454861,35485
PROD013,Laptop Model Y47,Sony,Electronics,1514621,11288
PROD014,Energy Drink Pack M45,Zara,Food & Beverage,2685571,58388
PROD015,Sports Jacket L55,Nestlé,Apparel,1952554,46873
PROD016,Running Shoes T91,Bosch,Apparel,5746358,137209
PROD017,Yoga Mat Pro F69,IKEA,Sports Equipment,3287862,55666
PROD018,Sports Jacket V51,Apple,Apparel,2359692,26096
PROD019,Energy Drink Pack Z50,IKEA,Food & Beverage,1447409,18743
PROD020,Running Shoes G82,Adidas,Apparel,2444267,42722
PROD021,Sparkling Water M92,Zara,Food & Beverage,3185796,30988
PROD022,Protein Bar E41,3M,Food & Beverage,2399741,67340
PROD023,Resistance Bands X84,H&M,Sports Equipment,11505151,200637
PROD024,Dumbbells L38kg,Philips,Sports Equipment,8635349,127183
PROD025,Dumbbells C16kg,LG,Sports Equipment,210823,2613
PROD026,Coffee Blend Z97,H&M,Food & Beverage,479143,3759
PROD027,Fitness Tracker M58,Heinz,Sports Equipment,2653948,60052
PROD028,Smart Thermostat R11,LG,Home & Garden,2072969,23311
PROD029,Resistance Bands Y92,Adidas,Sports Equipment,3911461,39098
PROD030,Wireless Headphones N30,Zara,Electronics,3925856,175220
PROD031,Wireless Headphones Q32,Siemens,Electronics,26190532,256285
PROD032,Wireless Headphones U74,Heinz,Electronics,1040949,25992
PROD033,Coffee Blend L30,3M,Food & Beverage,2167347,86519
PROD034,Fitness Tracker T51,Panasonic,Sports Equipment,24299058,161207
PROD035,Smart TV L49,Unilever,Electronics,6027636,39367
PROD036,Laptop Model S20,Sony,Electronics,6126919,46858
PROD037,Robot Vacuum Y78,Philips,Home & Garden,1891361,31994
PROD038,Sparkling Water R31,P&G,Food & Beverage,609473,20528
PROD039,Dumbbells G79kg,Nestlé,Sports Equipment,3735188,33026
PROD040,Performance Shorts V93,Puma,Apparel,3523415,44947
PROD041,Cordless Drill D41,Unilever,Home & Garden,927711,27982
PROD042,Wireless Headphones A85,3M,Electronics,1597303,18527
PROD043,Coffee Blend A19,Apple,Food & Beverage,2940650,142128
PROD044,Energy Drink Pack B52,Sony,Food & Beverage,1230184,8477
PROD045,Yoga Mat Pro I95,Panasonic,Sports Equipment,2864637,54462
PROD046,Coffee Blend X83,Colgate,Food & Beverage,3476127,31598
PROD047,Air Purifier Z70,H&M,Home & Garden,3274311,54458
PROD048,Energy Drink Pack D94,H&M,Food & Beverage,1905987,21235
PROD049,Performance Shorts N69,Apple,Apparel,5717178,61118
PROD050,Smart TV M53,LG,Electronics,7694233,182820
PROD051,Coffee Blend G78,Zara,Food & Beverage,4353429,28328
PROD052,Sparkling Water F45,Zara,Food & Beverage,1395852,11076
PROD053,Energy Drink Pack O80,LG,Food & Beverage,6561265,43918
PROD054,Smartphone A21 Plus,Unilever,Electronics,1915244,13389
PROD055,Sparkling Water P71,Nestlé,Food & Beverage,7602536,75405
PROD056,Robot Vacuum F58,Samsung,Home & Garden,1083621,7377
PROD057,Smart Thermostat Z68,Nike,Home & Garden,7875355,277461
PROD058,Cordless Drill E34,Nike,Home & Garden,3097319,70927
PROD059,Energy Drink Pack S79,Apple,Food & Beverage,908100,40847
PROD060,Running Shoes B84,Panasonic,Apparel,2309703,37216
PROD061,Yoga Mat Pro B75,Sony,Sports Equipment,3335415,46931
PROD062,Energy Drink Pack T18,Unilever,Food & Beverage,4149447,76296
PROD063,Robot Vacuum S41,Colgate,Home & Garden,1185045,8867
PROD064,Fitness Tracker T20,H&M,Sports Equipment,1045791,15719
PROD065,Resistance Bands I36,Adidas,Sports Equipment,3856934,69184
PROD066,Protein Bar M26,Nike,Food & Beverage,1982753,21326
PROD067,Smart Thermostat Y19,Samsung,Home & Garden,3997793,111547
PROD068,Robot Vacuum C78,Nestlé,Home & Garden,6746413,51946
PROD069,Resistance Bands E54,Sony,Sports Equipment,609040,23068
PROD070,Protein Bar J30,Zara,Food & Beverage,4073889,26092
PROD071,Resistance Bands T93,Siemens,Sports Equipment,10734649,85457
PROD072,Smartphone J94 Plus,LG,Electronics,2347775,53289
PROD073,Protein Bar D23,3M,Food & Beverage,1406227,84787
PROD074,Protein Bar J87,Nestlé,Food & Beverage,6697575,50832
PROD075,Sports Jacket V91,P&G,Apparel,4070061,34991
PROD076,Dumbbells I16kg,Sony,Sports Equipment,7730554,64709
PROD077,Smart Thermostat B10,Adidas,Home & Garden,2238592,17840
PROD078,Protein Bar F66,3M,Food & Beverage,719543,27328
PROD079,Robot Vacuum D19,Philips,Home & Garden,2831247,42400
PROD080,Fitness Tracker L84,3M,Sports Equipment,2024612,62726
PROD081,Sparkling Water E15,Nike,Food & Beverage,6853728,49473
PROD082,Running Shoes L36,Unilever,Apparel,3834079,36713
PROD083,Wireless Headphones Y81,H&M,Electronics,620048,9864
PROD084,Yoga Mat Pro H30,Bosch,Sports Equipment,958015,38570
PROD085,Robot Vacuum F52,H&M,Home & Garden,7637755,127249
PROD086,Protein Bar F99,LG,Food & Beverage,6229960,100416
PROD087,Robot Vacuum P38,Nestlé,Home & Garden,1667355,13946
PROD088,Smart Thermostat J39,Unilever,Home & Garden,3156691,29651
PROD089,Laptop Model M52,P&G,Electronics,4930851,34733
PROD090,Wireless Headphones L92,Siemens,Electronics,5044557,60815
PROD091,Smart Thermostat A24,P&G,Home & Garden,7580412,231065
PROD092,Protein Bar B23,Heinz,Food & Beverage,4082430,34826
PROD093,Smart Thermostat X50,H&M,Home & Garden,2874499,23184
PROD094,Fitness Tracker M83,Nestlé,Sports Equipment,2440229,25521
PROD095,Running Shoes W65,Samsung,Apparel,9068554,72298
PROD096,Yoga Mat Pro L65,Sony,Sports Equipment,333843,3881
PROD097,Training Tee V25,Nike,Apparel,2751411,30526
PROD098,Resistance Bands V62,Adidas,Sports Equipment,3265866,42637
PROD099,Smart Thermostat R26,Nestlé,Home & Garden,761283,39211
