product_id,product_name,brand,category,annual_sales_jpy,units_sold
PROD001,Smart TV X45,Unilever,Electronics,844448059,64615
PROD002,Coffee Blend X23,3M,Food & Beverage,1358369109,47539
PROD003,Smartphone N14 Plus,Samsung,Electronics,831771356,36661
PROD004,Laptop Model H74,Heinz,Electronics,162761696,8521
PROD005,Smartphone G93 Plus,3M,Electronics,1476837992,205445
PROD006,Air Purifier O85,P&G,Home & Garden,933863411,129923
PROD007,Laptop Model W64,Adidas,Electronics,349813854,76831
PROD008,Sports Jacket G53,LG,Apparel,1068362132,40623
PROD009,Tablet Pro D55,Puma,Electronics,860612597,44903
PROD010,Resistance Bands Z15,Zara,Sports Equipment,802157349,36388
PROD011,Fitness Tracker M20,3M,Sports Equipment,615215373,173596
PROD012,Training Tee S34,Sony,Apparel,1032280756,35485
PROD013,Laptop Model Y47,Sony,Electronics,286627679,11288
PROD014,Energy Drink Pack M45,Zara,Food & Beverage,508218971,58388
PROD015,Sports Jacket L55,Nestlé,Apparel,369502406,46873
PROD016,Running Shoes T91,Bosch,Apparel,1087443714,137209
PROD017,Yoga Mat Pro F69,IKEA,Sports Equipment,622196724,55666
PROD018,Sports Jacket V51,Apple,Apparel,446549324,26096
PROD019,Energy Drink Pack Z50,IKEA,Food & Beverage,273908518,18743
PROD020,Running Shoes G82,Adidas,Apparel,462554495,42722
PROD021,Sparkling Water M92,Zara,Food & Beverage,602881773,30988
PROD022,Protein Bar E41,3M,Food & Beverage,454128226,67340
PROD023,Resistance Bands X84,H&M,Sports Equipment,2177240708,200637
PROD024,Dumbbells L38kg,Philips,Sports Equipment,1634157889,127183
PROD025,Dumbbells C16kg,LG,Sports Equipment,39896317,2613
PROD026,Coffee Blend Z97,H&M,Food & Beverage,90673394,3759
PROD027,Fitness Tracker M58,Heinz,Sports Equipment,502234486,60052
PROD028,Smart Thermostat R11,LG,Home & Garden,392289794,23311
PROD029,Resistance Bands Y92,Adidas,Sports Equipment,740206941,39098
PROD030,Wireless Headphones N30,Zara,Electronics,742931130,175220
PROD031,Wireless Headphones Q32,Siemens,Electronics,4956309663,256285
PROD032,Wireless Headphones U74,Heinz,Electronics,196989721,25992
PROD033,Coffee Blend L30,3M,Food & Beverage,410149961,86519
PROD034,Fitness Tracker T51,Panasonic,Sports Equipment,4598366149,161207
PROD035,Smart TV L49,Unilever,Electronics,1140673040,39367
PROD036,Laptop Model S20,Sony,Electronics,1159461303,46858
PROD037,Robot Vacuum Y78,Philips,Home & Garden,357922136,31994
PROD038,Sparkling Water R31,P&G,Food & Beverage,115337157,20528
PROD039,Dumbbells G79kg,Nestlé,Sports Equipment,706849006,33026
PROD040,Performance Shorts V93,Puma,Apparel,666772990,44947
PROD041,Cordless Drill D41,Unilever,Home & Garden,175560541,27982
PROD042,Wireless Headphones A85,3M,Electronics,302274498,18527
PROD043,Coffee Blend A19,Apple,Food & Beverage,556490129,142128
PROD044,Energy Drink Pack B52,Sony,Food & Beverage,232800652,8477
PROD045,Yoga Mat Pro I95,Panasonic,Sports Equipment,542105388,54462
PROD046,Coffee Blend X83,Colgate,Food & Beverage,657824219,31598
PROD047,Air Purifier Z70,H&M,Home & Garden,619632351,54458
PROD048,Energy Drink Pack D94,H&M,Food & Beverage,360690128,21235
PROD049,Performance Shorts N69,Apple,Apparel,1081921782,61118
PROD050,Smart TV M53,LG,Electronics,1456060632,182820
PROD051,Coffee Blend G78,Zara,Food & Beverage,823845165,28328
PROD052,Sparkling Water F45,Zara,Food & Beverage,264151849,11076
PROD053,Energy Drink Pack O80,LG,Food & Beverage,1241657150,43918
PROD054,Smartphone A21 Plus,Unilever,Electronics,362441820,13389
PROD055,Sparkling Water P71,Nestlé,Food & Beverage,1438707868,75405
PROD056,Robot Vacuum F58,Samsung,Home & Garden,205065113,7377
PROD057,Smart Thermostat Z68,Nike,Home & Garden,1490336198,277461
PROD058,Cordless Drill E34,Nike,Home & Garden,586138221,70927
