product_id,product_name,brand,category,annual_sales_usd,units_sold
PROD001,Smart TV X45,Unilever,Electronics,5648482,64615
PROD002,Coffee Blend X23,3M,Food & Beverage,9086081,47539
PROD003,Smartphone N14 Plus,Samsung,Electronics,5563688,36661
PROD004,Laptop Model H74,Heinz,Electronics,1088707,8521
PROD005,Smartphone G93 Plus,3M,Electronics,9878515,205445
PROD006,Air Purifier O85,P&G,Home & Garden,6246578,129923
PROD007,Laptop Model W64,Adidas,Electronics,2339892,76831
PROD008,Sports Jacket G53,LG,Apparel,7146235,40623
PROD009,Tablet Pro D55,Puma,Electronics,5756606,44903
PROD010,Resistance Bands Z15,Zara,Sports Equipment,5365601,36388
PROD011,Fitness Tracker M20,3M,Sports Equipment,4115153,173596
PROD012,Training Tee S34,Sony,Apparel,6904888,35485
PROD013,Laptop Model Y47,Sony,Electronics,1917242,11288
PROD014,Energy Drink Pack M45,Zara,Food & Beverage,3399458,58388
PROD015,Sports Jacket L55,Nestlé,Apparel,2471588,46873
PROD016,Running Shoes T91,Bosch,Apparel,7273871,137209
PROD017,Yoga Mat Pro F69,IKEA,Sports Equipment,4161851,55666
PROD018,Sports Jacket V51,Apple,Apparel,2986952,26096
PROD019,Energy Drink Pack Z50,IKEA,Food & Beverage,1832164,18743
PROD020,Running Shoes G82,Adidas,Apparel,3094010,42722
PROD021,Sparkling Water M92,Zara,Food & Beverage,4032654,30988
PROD022,Protein Bar E41,3M,Food & Beverage,3037647,67340
PROD023,Resistance Bands X84,H&M,Sports Equipment,14563483,200637
PROD024,Dumbbells L38kg,Philips,Sports Equipment,10930822,127183
PROD025,Dumbbells C16kg,LG,Sports Equipment,266865,2613
PROD026,Coffee Blend Z97,H&M,Food & Beverage,606511,3759
PROD027,Fitness Tracker M58,Heinz,Sports Equipment,3359428,60052
PROD028,Smart Thermostat R11,LG,Home & Garden,2624012,23311
PROD029,Resistance Bands Y92,Adidas,Sports Equipment,4951217,39098
PROD030,Wireless Headphones N30,Zara,Electronics,4969439,175220
PROD031,Wireless Headphones Q32,Siemens,Electronics,33152573,256285
PROD032,Wireless Headphones U74,Heinz,Electronics,1317657,25992
PROD033,Coffee Blend L30,3M,Food & Beverage,2743478,86519
PROD034,Fitness Tracker T51,Panasonic,Sports Equipment,30758302,161207
PROD035,Smart TV L49,Unilever,Electronics,7629920,39367
PROD036,Laptop Model S20,Sony,Electronics,7755594,46858
PROD037,Robot Vacuum Y78,Philips,Home & Garden,2394128,31994
PROD038,Sparkling Water R31,P&G,Food & Beverage,771486,20528
PROD039,Dumbbells G79kg,Nestlé,Sports Equipment,4728087,33026
PROD040,Performance Shorts V93,Puma,Apparel,4460020,44947
PROD041,Cordless Drill D41,Unilever,Home & Garden,1174318,27982
PROD042,Wireless Headphones A85,3M,Electronics,2021903,18527
PROD043,Coffee Blend A19,Apple,Food & Beverage,3722342,142128
PROD044,Energy Drink Pack B52,Sony,Food & Beverage,1557195,8477
PROD045,Yoga Mat Pro I95,Panasonic,Sports Equipment,3626123,54462
PROD046,Coffee Blend X83,Colgate,Food & Beverage,4400162,31598
PROD047,Air Purifier Z70,H&M,Home & Garden,4144698,54458
PROD048,Energy Drink Pack D94,H&M,Food & Beverage,2412643,21235
PROD049,Performance Shorts N69,Apple,Apparel,7236935,61118
PROD050,Smart TV M53,LG,Electronics,9739536,182820
PROD051,Coffee Blend G78,Zara,Food & Beverage,5510670,28328
PROD052,Sparkling Water F45,Zara,Food & Beverage,1766902,11076
PROD053,Energy Drink Pack O80,LG,Food & Beverage,8305399,43918
PROD054,Smartphone A21 Plus,Unilever,Electronics,2424360,13389
PROD055,Sparkling Water P71,Nestlé,Food & Beverage,9623464,75405
PROD056,Robot Vacuum F58,Samsung,Home & Garden,1371673,7377
PROD057,Smart Thermostat Z68,Nike,Home & Garden,9968804,277461
PROD058,Cordless Drill E34,Nike,Home & Garden,3920657,70927
PROD059,Energy Drink Pack S79,Apple,Food & Beverage,1149494,40847
PROD060,Running Shoes B84,Panasonic,Apparel,2923675,37216
PROD061,Yoga Mat Pro B75,Sony,Sports Equipment,4222045,46931
PROD062,Energy Drink Pack T18,Unilever,Food & Beverage,5252465,76296
PROD063,Robot Vacuum S41,Colgate,Home & Garden,1500057,8867
PROD064,Fitness Tracker T20,H&M,Sports Equipment,1323787,15719
PROD065,Resistance Bands I36,Adidas,Sports Equipment,4882195,69184
PROD066,Protein Bar M26,Nike,Food & Beverage,2509814,21326
PROD067,Smart Thermostat Y19,Samsung,Home & Garden,5060498,111547
PROD068,Robot Vacuum C78,Nestlé,Home & Garden,8539764,51946
PROD069,Resistance Bands E54,Sony,Sports Equipment,770937,23068
PROD070,Protein Bar J30,Zara,Food & Beverage,5156822,26092
PROD071,Resistance Bands T93,Siemens,Sports Equipment,13588164,85457
PROD072,Smartphone J94 Plus,LG,Electronics,2971868,53289
PROD073,Protein Bar D23,3M,Food & Beverage,1780035,84787
PROD074,Protein Bar J87,Nestlé,Food & Beverage,8477944,50832
PROD075,Sports Jacket V91,P&G,Apparel,5151976,34991
PROD076,Dumbbells I16kg,Sony,Sports Equipment,9785512,64709
PROD077,Smart Thermostat B10,Adidas,Home & Garden,2833661,17840
PROD078,Protein Bar F66,3M,Food & Beverage,910814,27328
PROD079,Robot Vacuum D19,Philips,Home & Garden,3583858,42400
PROD080,Fitness Tracker L84,3M,Sports Equipment,2562800,62726
PROD081,Sparkling Water E15,Nike,Food & Beverage,8675606,49473
PROD082,Running Shoes L36,Unilever,Apparel,4853265,36713
PROD083,Wireless Headphones Y81,H&M,Electronics,784871,9864
PROD084,Yoga Mat Pro H30,Bosch,Sports Equipment,1212678,38570
PROD085,Robot Vacuum F52,H&M,Home & Garden,9668045,127249
PROD086,Protein Bar F99,LG,Food & Beverage,7886026,100416
PROD087,Robot Vacuum P38,Nestlé,Home & Garden,2110577,13946
PROD088,Smart Thermostat J39,Unilever,Home & Garden,3995812,29651
PROD089,Laptop Model M52,P&G,Electronics,6241584,34733
PROD090,Wireless Headphones L92,Siemens,Electronics,6385516,60815
PROD091,Smart Thermostat A24,P&G,Home & Garden,9595459,231065
PROD092,Protein Bar B23,Heinz,Food & Beverage,5167634,34826
PROD093,Smart Thermostat X50,H&M,Home & Garden,3638607,23184
PROD094,Fitness Tracker M83,Nestlé,Sports Equipment,3088898,25521
PROD095,Running Shoes W65,Samsung,Apparel,11479183,72298
PROD096,Yoga Mat Pro L65,Sony,Sports Equipment,422587,3881
PROD097,Training Tee V25,Nike,Apparel,3482799,30526
PROD098,Resistance Bands V62,Adidas,Sports Equipment,4134008,42637
PROD099,Smart Thermostat R26,Nestlé,Home & Garden,963650,39211
PROD100,Cordless Drill V32,Heinz,Home & Garden,5576908,141472
PROD101,Resistance Bands M80,Samsung,Sports Equipment,2087442,81358
PROD102,Training Tee G65,Colgate,Apparel,9464162,70337
PROD103,Resistance Bands O66,Zara,Sports Equipment,3528528,46073
PROD104,Sparkling Water Z31,Sony,Food & Beverage,7802901,69954
PROD105,Training Tee C40,Nike,Apparel,13509647,73677
PROD106,Coffee Blend E13,Apple,Food & Beverage,5863104,90378
