product_id,product_name,brand,category,report_week,weekly_sales_usd
PROD001,Smart TV X45,Unilever,Electronics,2023-W01,1096312
PROD002,Coffee Blend X23,3M,Food & Beverage,2023-W01,1804932
PROD003,Smartphone N14 Plus,Samsung,Electronics,2023-W01,1081722
PROD004,Laptop Model H74,Heinz,Electronics,2023-W01,207675
PROD005,Smartphone G93 Plus,3M,Electronics,2023-W01,1897483
PROD006,Air Purifier O85,P&G,Home & Garden,2023-W01,1288180
PROD007,Laptop Model W64,Adidas,Electronics,2023-W01,457786
PROD008,Sports Jacket G53,LG,Apparel,2023-W01,1445038
PROD009,Tablet Pro D55,Puma,Electronics,2023-W01,1197340
PROD010,Resistance Bands Z15,Zara,Sports Equipment,2023-W01,1157719
PROD011,Fitness Tracker M20,3M,Sports Equipment,2023-W01,776534
PROD012,Training Tee S34,Sony,Apparel,2023-W01,1521138
PROD013,Laptop Model Y47,Sony,Electronics,2023-W01,408696
PROD014,Energy Drink Pack M45,Zara,Food & Beverage,2023-W01,647480
PROD015,Sports Jacket L55,Nestlé,Apparel,2023-W01,552108
PROD016,Running Shoes T91,Bosch,Apparel,2023-W01,1639152
PROD017,Yoga Mat Pro F69,IKEA,Sports Equipment,2023-W01,789111
PROD018,Sports Jacket V51,Apple,Apparel,2023-W01,593139
PROD019,Energy Drink Pack Z50,IKEA,Food & Beverage,2023-W01,404140
PROD020,Running Shoes G82,Adidas,Apparel,2023-W01,675027
PROD021,Sparkling Water M92,Zara,Food & Beverage,2023-W01,785309
PROD022,Protein Bar E41,3M,Food & Beverage,2023-W01,594679
PROD023,Resistance Bands X84,H&M,Sports Equipment,2023-W01,2948634
PROD024,Dumbbells L38kg,Philips,Sports Equipment,2023-W01,2264962
PROD025,Dumbbells C16kg,LG,Sports Equipment,2023-W01,56780
PROD026,Coffee Blend Z97,H&M,Food & Beverage,2023-W01,122759
PROD027,Fitness Tracker M58,Heinz,Sports Equipment,2023-W01,693032
PROD028,Smart Thermostat R11,LG,Home & Garden,2023-W01,572401
PROD029,Resistance Bands Y92,Adidas,Sports Equipment,2023-W01,933759
PROD030,Wireless Headphones N30,Zara,Electronics,2023-W01,981766
PROD031,Wireless Headphones Q32,Siemens,Electronics,2023-W01,7184866
PROD032,Wireless Headphones U74,Heinz,Electronics,2023-W01,295525
PROD033,Coffee Blend L30,3M,Food & Beverage,2023-W01,571569
PROD034,Fitness Tracker T51,Panasonic,Sports Equipment,2023-W01,6434242
PROD035,Smart TV L49,Unilever,Electronics,2023-W01,1461298
PROD036,Laptop Model S20,Sony,Electronics,2023-W01,1595062
PROD037,Robot Vacuum Y78,Philips,Home & Garden,2023-W01,500870
PROD038,Sparkling Water R31,P&G,Food & Beverage,2023-W01,152095
PROD039,Dumbbells G79kg,Nestlé,Sports Equipment,2023-W01,937388
PROD040,Performance Shorts V93,Puma,Apparel,2023-W01,904272
PROD041,Cordless Drill D41,Unilever,Home & Garden,2023-W01,220655
PROD042,Wireless Headphones A85,3M,Electronics,2023-W01,405302
PROD043,Coffee Blend A19,Apple,Food & Beverage,2023-W01,729046
PROD044,Energy Drink Pack B52,Sony,Food & Beverage,2023-W01,312499
PROD045,Yoga Mat Pro I95,Panasonic,Sports Equipment,2023-W01,696380
PROD046,Coffee Blend X83,Colgate,Food & Beverage,2023-W01,986017
PROD047,Air Purifier Z70,H&M,Home & Garden,2023-W01,877610
PROD048,Energy Drink Pack D94,H&M,Food & Beverage,2023-W01,519436
PROD049,Performance Shorts N69,Apple,Apparel,2023-W01,1591207
PROD050,Smart TV M53,LG,Electronics,2023-W01,2023753
PROD051,Coffee Blend G78,Zara,Food & Beverage,2023-W01,1050776
PROD052,Sparkling Water F45,Zara,Food & Beverage,2023-W01,369979
PROD053,Energy Drink Pack O80,LG,Food & Beverage,2023-W01,1756278
PROD054,Smartphone A21 Plus,Unilever,Electronics,2023-W01,528644
PROD055,Sparkling Water P71,Nestlé,Food & Beverage,2023-W01,1972918
PROD056,Robot Vacuum F58,Samsung,Home & Garden,2023-W01,263869
PROD057,Smart Thermostat Z68,Nike,Home & Garden,2023-W01,1982432
PROD058,Cordless Drill E34,Nike,Home & Garden,2023-W01,792601
PROD059,Energy Drink Pack S79,Apple,Food & Beverage,2023-W01,245897
PROD060,Running Shoes B84,Panasonic,Apparel,2023-W01,616294
PROD061,Yoga Mat Pro B75,Sony,Sports Equipment,2023-W01,852304
PROD062,Energy Drink Pack T18,Unilever,Food & Beverage,2023-W01,1197965
PROD063,Robot Vacuum S41,Colgate,Home & Garden,2023-W01,318386
PROD064,Fitness Tracker T20,H&M,Sports Equipment,2023-W01,260691
PROD065,Resistance Bands I36,Adidas,Sports Equipment,2023-W01,933954
PROD066,Protein Bar M26,Nike,Food & Beverage,2023-W01,485451
PROD067,Smart Thermostat Y19,Samsung,Home & Garden,2023-W01,998393
