store_id,store_name,brand_full,country,annual_revenue_eur
ST001,Store 001,Albert Heijn B.V.,India,61835777
ST002,Store 002,Jumbo Groep Holding B.V.,Canada,122235184
ST003,Store 003,Esselunga S.p.A.,Czech Republic,196353867
ST004,Store 004,Lidl Stiftung & Co. KG,Canada,115058591
ST005,Store 005,Mercadona S.A.,Austria,68921458
ST006,Store 006,Conad Società Cooperativa,United Kingdom,184867116
ST007,Store 007,Jeronimo Martins Polska S.A.,Germany,24987966
ST008,Store 008,Aldi Einkauf SE,Germany,116430970
ST009,Store 009,Lidl Stiftung & Co. KG,Denmark,198819041
ST010,Store 010,Conad Società Cooperativa,Russia,35427601
ST011,Store 011,Penny GmbH & Co. KG,France,157928020
ST012,Store 012,Penny GmbH & Co. KG,Sweden,88988668
ST013,Store 013,Lidl Stiftung & Co. KG,Czech Republic,95418261
ST014,Store 014,Jumbo Groep Holding B.V.,China,194058252
ST015,Store 015,Carrefour S.A.,Japan,161671357
ST016,Store 016,Wm Morrison Supermarkets Ltd,Netherlands,28310064
ST017,Store 017,Netto Marken-Discount AG,Portugal,57606638
ST018,Store 018,REWE Group,Austria,129936731
ST019,Store 019,Coop Genossenschaft,China,29549651
ST020,Store 020,Conad Società Cooperativa,China,149821376
ST021,Store 021,Conad Società Cooperativa,Italy,75277585
ST022,Store 022,Netto Marken-Discount AG,Argentina,115688984
ST023,Store 023,Penny GmbH & Co. KG,South Korea,167392712
ST024,Store 024,SPAR International,Austria,173023242
ST025,Store 025,Penny GmbH & Co. KG,Spain,163975827
ST026,Store 026,J Sainsbury plc,Spain,48930071
ST027,Store 027,J Sainsbury plc,Greece,83442444
ST028,Store 028,Mercadona S.A.,Netherlands,2139010
ST029,Store 029,EDEKA Zentrale AG,China,38953779
ST030,Store 030,Netto Marken-Discount AG,Austria,108084729
ST031,Store 031,Aldi Einkauf SE,United Kingdom,199402367
ST032,Store 032,Tesco PLC,Germany,142900362
ST033,Store 033,Migros-Genossenschafts-Bund,Serbia,113197926
ST034,Store 034,Albert Heijn B.V.,Canada,42754230
ST035,Store 035,Conad Società Cooperativa,Japan,194201942
ST036,Store 036,Mercadona S.A.,South Korea,152862234
ST037,Store 037,SPAR International,Germany,14622074
