department,grade,level,min_salary_eur,max_salary_eur,midpoint_eur
Engineering,IC1,Junior,40950,59150,50050
Engineering,IC2,Mid,59150,81900,70525
Engineering,IC3,Senior,81900,118300,100100
Engineering,IC4,Staff,118300,159250,138775
Engineering,IC5,Principal,159250,209300,184275
Engineering,M1,Manager,91000,131950,111475
Engineering,M2,Senior Manager,131950,177450,154700
Engineering,M3,Director,177450,236600,207025
Engineering,M4,VP,236600,318500,277550
Engineering,M5,SVP,318500,455000,386750
Marketing,IC1,Junior,40950,59150,50050
Marketing,IC2,Mid,59150,81900,70525
Marketing,IC3,Senior,81900,118300,100100
Marketing,IC4,Staff,118300,159250,138775
Marketing,IC5,Principal,159250,209300,184275
Marketing,M1,Manager,91000,131950,111475
Marketing,M2,Senior Manager,131950,177450,154700
Marketing,M3,Director,177450,236600,207025
Marketing,M4,VP,236600,318500,277550
Marketing,M5,SVP,318500,455000,386750
Finance,IC1,Junior,40950,59150,50050
Finance,IC2,Mid,59150,81900,70525
Finance,IC3,Senior,81900,118300,100100
Finance,IC4,Staff,118300,159250,138775
Finance,IC5,Principal,159250,209300,184275
Finance,M1,Manager,91000,131950,111475
Finance,M2,Senior Manager,131950,177450,154700
Finance,M3,Director,177450,236600,207025
Finance,M4,VP,236600,318500,277550
Finance,M5,SVP,318500,455000,386750
Sales,IC1,Junior,40950,59150,50050
Sales,IC2,Mid,59150,81900,70525
Sales,IC3,Senior,81900,118300,100100
Sales,IC4,Staff,118300,159250,138775
Sales,IC5,Principal,159250,209300,184275
Sales,M1,Manager,91000,131950,111475
Sales,M2,Senior Manager,131950,177450,154700
Sales,M3,Director,177450,236600,207025
Sales,M4,VP,236600,318500,277550
Sales,M5,SVP,318500,455000,386750
HR,IC1,Junior,40950,59150,50050
HR,IC2,Mid,59150,81900,70525
HR,IC3,Senior,81900,118300,100100
HR,IC4,Staff,118300,159250,138775
HR,IC5,Principal,159250,209300,184275
HR,M1,Manager,91000,131950,111475
HR,M2,Senior Manager,131950,177450,154700
HR,M3,Director,177450,236600,207025
HR,M4,VP,236600,318500,277550
HR,M5,SVP,318500,455000,386750
Operations,IC1,Junior,40950,59150,50050
Operations,IC2,Mid,59150,81900,70525
Operations,IC3,Senior,81900,118300,100100
Operations,IC4,Staff,118300,159250,138775
Operations,IC5,Principal,159250,209300,184275
Operations,M1,Manager,91000,131950,111475
Operations,M2,Senior Manager,131950,177450,154700
Operations,M3,Director,177450,236600,207025
Operations,M4,VP,236600,318500,277550
Operations,M5,SVP,318500,455000,386750
Product,IC1,Junior,40950,59150,50050
Product,IC2,Mid,59150,81900,70525
Product,IC3,Senior,81900,118300,100100
Product,IC4,Staff,118300,159250,138775
Product,IC5,Principal,159250,209300,184275
Product,M1,Manager,91000,131950,111475
Product,M2,Senior Manager,131950,177450,154700
Product,M3,Director,177450,236600,207025
Product,M4,VP,236600,318500,277550
Product,M5,SVP,318500,455000,386750
Legal,IC1,Junior,40950,59150,50050
Legal,IC2,Mid,59150,81900,70525
Legal,IC3,Senior,81900,118300,100100
Legal,IC4,Staff,118300,159250,138775
Legal,IC5,Principal,159250,209300,184275
Legal,M1,Manager,91000,131950,111475
Legal,M2,Senior Manager,131950,177450,154700
Legal,M3,Director,177450,236600,207025
Legal,M4,VP,236600,318500,277550
Legal,M5,SVP,318500,455000,386750
