department,grade,level,min_salary_usd,max_salary_usd,midpoint_usd
Engineering,IC1,Junior,45000,65000,55000
Engineering,IC2,Mid,65000,90000,77500
Engineering,IC3,Senior,90000,130000,110000
Engineering,IC4,Staff,130000,175000,152500
Engineering,IC5,Principal,175000,230000,202500
Engineering,M1,Manager,100000,145000,122500
Engineering,M2,Senior Manager,145000,195000,170000
Engineering,M3,Director,195000,260000,227500
Engineering,M4,VP,260000,350000,305000
Engineering,M5,SVP,350000,500000,425000
Marketing,IC1,Junior,45000,65000,55000
Marketing,IC2,Mid,65000,90000,77500
Marketing,IC3,Senior,90000,130000,110000
Marketing,IC4,Staff,130000,175000,152500
Marketing,IC5,Principal,175000,230000,202500
Marketing,M1,Manager,100000,145000,122500
Marketing,M2,Senior Manager,145000,195000,170000
Marketing,M3,Director,195000,260000,227500
Marketing,M4,VP,260000,350000,305000
Marketing,M5,SVP,350000,500000,425000
Finance,IC1,Junior,45000,65000,55000
Finance,IC2,Mid,65000,90000,77500
Finance,IC3,Senior,90000,130000,110000
Finance,IC4,Staff,130000,175000,152500
Finance,IC5,Principal,175000,230000,202500
Finance,M1,Manager,100000,145000,122500
Finance,M2,Senior Manager,145000,195000,170000
Finance,M3,Director,195000,260000,227500
Finance,M4,VP,260000,350000,305000
Finance,M5,SVP,350000,500000,425000
Sales,IC1,Junior,45000,65000,55000
Sales,IC2,Mid,65000,90000,77500
Sales,IC3,Senior,90000,130000,110000
Sales,IC4,Staff,130000,175000,152500
Sales,IC5,Principal,175000,230000,202500
Sales,M1,Manager,100000,145000,122500
Sales,M2,Senior Manager,145000,195000,170000
Sales,M3,Director,195000,260000,227500
Sales,M4,VP,260000,350000,305000
Sales,M5,SVP,350000,500000,425000
HR,IC1,Junior,45000,65000,55000
HR,IC2,Mid,65000,90000,77500
HR,IC3,Senior,90000,130000,110000
HR,IC4,Staff,130000,175000,152500
HR,IC5,Principal,175000,230000,202500
HR,M1,Manager,100000,145000,122500
HR,M2,Senior Manager,145000,195000,170000
HR,M3,Director,195000,260000,227500
HR,M4,VP,260000,350000,305000
HR,M5,SVP,350000,500000,425000
Operations,IC1,Junior,45000,65000,55000
Operations,IC2,Mid,65000,90000,77500
Operations,IC3,Senior,90000,130000,110000
Operations,IC4,Staff,130000,175000,152500
Operations,IC5,Principal,175000,230000,202500
Operations,M1,Manager,100000,145000,122500
Operations,M2,Senior Manager,145000,195000,170000
Operations,M3,Director,195000,260000,227500
Operations,M4,VP,260000,350000,305000
Operations,M5,SVP,350000,500000,425000
Product,IC1,Junior,45000,65000,55000
Product,IC2,Mid,65000,90000,77500
Product,IC3,Senior,90000,130000,110000
Product,IC4,Staff,130000,175000,152500
Product,IC5,Principal,175000,230000,202500
Product,M1,Manager,100000,145000,122500
Product,M2,Senior Manager,145000,195000,170000
Product,M3,Director,195000,260000,227500
Product,M4,VP,260000,350000,305000
Product,M5,SVP,350000,500000,425000
Legal,IC1,Junior,45000,65000,55000
Legal,IC2,Mid,65000,90000,77500
Legal,IC3,Senior,90000,130000,110000
Legal,IC4,Staff,130000,175000,152500
Legal,IC5,Principal,175000,230000,202500
Legal,M1,Manager,100000,145000,122500
Legal,M2,Senior Manager,145000,195000,170000
Legal,M3,Director,195000,260000,227500
Legal,M4,VP,260000,350000,305000
Legal,M5,SVP,350000,500000,425000
