series_id,name,director,year,language,genre
SR001,Series Falling 1,Quentin Denisova,2014,ES,Horror
SR002,Series Burning 2,Peter Guadagnino Jr,2017,DE,Comedy
SR003,Series Crimson 3,Paul Cuaronez,2017,EN,Drama
SR004,Series Burning 4,Peter Gerwigova,2022,ES,Sci-Fi
SR005,Series Broken 5,Martin Finchereux,2012,JA,Romance
SR006,Series Lost 6,Sofia Tarantinov,2013,JA,Comedy
SR007,Series Lost 7,Ava Scottbury,2018,ES,Drama
SR008,Series Dark 8,James Tarantinov,2005,ZH,Horror
SR009,Series Golden 9,David Scottbury,2013,AR,Comedy
SR010,Series Rising 10,Christopher Tarantinov,2019,JA,Romance
SR011,Series Golden 11,Martin Gerwigova,2021,JA,Action
SR012,Series Silent 12,Paul DuVernay Jr,2014,KO,Sci-Fi
SR013,Series Lost 13,James Cuaronez,2009,JA,Comedy
SR014,Series Golden 14,Martin Denisova,2007,EN,Romance
SR015,Series Hidden 15,Alfonso Camerone,2019,PT,Comedy
SR016,Series Last 16,James Campionette,2005,JA,Sci-Fi
SR017,Series Hollow 17,Quentin Andersonsen,2009,ES,Drama
SR018,Series Golden 18,James Scorsetti,2022,DE,Drama
SR019,Series Hollow 19,Claire Jacksonov,2015,EN,Thriller
SR020,Series Iron 20,Denis Villeneuven,2008,ES,Thriller
SR021,Series Dark 21,Paul Nolanberg,2017,PT,Horror
SR022,Series Burning 22,Martin Jacksonov,2009,JA,Documentary
SR023,Series Broken 23,Claire Campionette,2010,PT,Documentary
SR024,Series Lost 24,Denis Camerone,2016,KO,Sci-Fi
SR025,Series Dark 25,Claire Bigelowska,2023,KO,Thriller
SR026,Series Crimson 26,Martin Scottbury,2012,PT,Horror
SR027,Series Dark 27,Francis Coppola II,2018,ZH,Romance
SR028,Series Final 28,Ridley Camerone,2013,EN,Action
SR029,Series Golden 29,Stanley Jacksonov,2022,AR,Sci-Fi
SR030,Series Burning 30,Luca Villeneuven,2022,KO,Sci-Fi
SR031,Series Distant 31,Greta Cuaronez,2009,ES,Sci-Fi
