player_id,player_name,sport,career_span,career_total_points
PLAY001,Matteo Fritz,Football,2015-2023,15505
PLAY002,Novak Auger-Aliassime,Tennis,2015-2023,18310
PLAY003,Matteo Alcaraz,Tennis,2015-2023,6638
PLAY004,Holger Humbert,Boxing,2015-2023,829
PLAY005,Daniil Berdych,Judo,2015-2023,6197
PLAY006,Viktor Bublik,Judo,2015-2023,21005
PLAY007,Holger Edberg,Boxing,2015-2023,20215
PLAY008,Alexander Zverev,Tennis,2015-2023,6451
PLAY009,Rafael Musetti,Athletics,2015-2023,15370
PLAY010,David Berdych,Basketball,2015-2023,10613
PLAY011,Denis Becker,Swimming,2015-2023,6448
PLAY012,Tomas Zverev,Boxing,2015-2023,4608
PLAY013,Sebastian Becker,Football,2015-2023,12556
PLAY014,Denis Tiafoe,Basketball,2015-2023,20674
PLAY015,Diego Alcaraz,Football,2015-2023,1005
PLAY016,Casper Djokovic,Tennis,2015-2023,8026
PLAY017,Carlos Sinner,Basketball,2015-2023,24010
PLAY018,Andrey Berdych,Tennis,2015-2023,14195
PLAY019,Alexander Schwartzman,Cycling,2015-2023,6997
PLAY020,Boris Rossi,Football,2015-2023,16754
PLAY021,Grigor Paul,Boxing,2015-2023,13430
PLAY022,Daniil Wilander,Athletics,2015-2023,6265
PLAY023,Lorenzo Berrettini,Basketball,2015-2023,15944
PLAY024,Lorenzo Medvedev,Judo,2015-2023,16706
PLAY025,Rafael Berrettini,Boxing,2015-2023,9174
PLAY026,Tommy Bublik,Athletics,2015-2023,1320
PLAY027,Nicolas Rossi,Swimming,2015-2023,15948
PLAY028,Francis Djokovic,Athletics,2015-2023,5996
PLAY029,Casper Shapovalov,Basketball,2015-2023,1215
PLAY030,Diego Schwartzman,Football,2015-2023,12097
PLAY031,Carlos Bublik,Football,2015-2023,12375
PLAY032,Grigor Klein,Football,2015-2023,12651
PLAY033,Matteo Becker,Swimming,2015-2023,9486
PLAY034,Alexander Musetti,Cycling,2015-2023,5193
PLAY035,Tommy Alcaraz,Basketball,2015-2023,9989
PLAY036,Diego Auger-Aliassime,Tennis,2015-2023,18387
PLAY037,Matteo Klein,Tennis,2015-2023,15722
PLAY038,Tommy Tsitsipas,Tennis,2015-2023,6133
PLAY039,Marco Troicki,Swimming,2015-2023,7283
PLAY040,Novak Dimitrov,Football,2015-2023,14676
PLAY041,Felix Djokovic,Judo,2015-2023,10186
PLAY042,Grigor Schwartzman,Judo,2015-2023,16014
PLAY043,Grigor Edberg,Swimming,2015-2023,21485
PLAY044,Carlos Fritz,Swimming,2015-2023,12605
PLAY045,Dominic Shapovalov,Football,2015-2023,7553
PLAY046,Rafael Bublik,Football,2015-2023,18103
PLAY047,Taylor Auger-Aliassime,Swimming,2015-2023,7900
PLAY048,Jannik Lendl,Basketball,2015-2023,15858
PLAY049,Carlos Auger-Aliassime,Boxing,2015-2023,5389
PLAY050,Nicolas Djokovic,Football,2015-2023,6089
PLAY051,Felix Berrettini,Judo,2015-2023,6486
PLAY052,Boris Troicki,Boxing,2015-2023,13104
PLAY053,Lucas Medvedev,Judo,2015-2023,16001
PLAY054,Sebastian Klein,Tennis,2015-2023,13194
PLAY055,Boris Wilander,Football,2015-2023,16701
PLAY056,Holger Zverev,Football,2015-2023,3997
PLAY057,Rafael Auger-Aliassime,Athletics,2015-2023,6526
PLAY058,Pablo Rune,Basketball,2015-2023,15916
PLAY059,Tomas Bublik,Boxing,2015-2023,5164
PLAY060,Stefanos Berdych,Tennis,2015-2023,9315
PLAY061,Sebastian Troicki,Judo,2015-2023,3213
