player_id,player_name,nationality,sport,elo_rating,rank_elo
PLAY001,Matteo Fritz,Norway,Football,2341,13
PLAY002,Novak Auger-Aliassime,Sweden,Tennis,2360,11
PLAY003,Matteo Alcaraz,Germany,Tennis,1723,1
PLAY004,Holger Humbert,Portugal,Boxing,1234,7
PLAY005,Daniil Berdych,Belgium,Judo,1691,76
PLAY006,Viktor Bublik,United States,Judo,2229,8
PLAY007,Holger Edberg,Switzerland,Boxing,2366,101
PLAY008,Alexander Zverev,Switzerland,Tennis,1496,43
PLAY009,Rafael Musetti,United Kingdom,Athletics,2164,89
PLAY010,David Berdych,United States,Basketball,1883,59
PLAY011,Denis Becker,Austria,Swimming,1640,33
PLAY012,Tomas Zverev,Norway,Boxing,1496,46
PLAY013,Sebastian Becker,Denmark,Football,2165,119
PLAY014,Denis Tiafoe,India,Basketball,2374,61
PLAY015,Diego Alcaraz,Norway,Football,1253,3
PLAY016,Casper Djokovic,Canada,Tennis,1685,44
PLAY017,Carlos Sinner,Mexico,Basketball,2537,82
PLAY018,Andrey Berdych,South Africa,Tennis,2274,54
PLAY019,Alexander Schwartzman,Switzerland,Cycling,1742,22
PLAY020,Boris Rossi,France,Football,2113,100
PLAY021,Grigor Paul,Mexico,Boxing,2035,81
PLAY022,Daniil Wilander,China,Athletics,1757,17
PLAY023,Lorenzo Berrettini,Spain,Basketball,1945,14
PLAY024,Lorenzo Medvedev,Germany,Judo,2517,60
PLAY025,Rafael Berrettini,France,Boxing,1667,114
PLAY026,Tommy Bublik,Belgium,Athletics,1247,19
PLAY027,Nicolas Rossi,South Korea,Swimming,2330,49
PLAY028,Francis Djokovic,Switzerland,Athletics,1678,83
PLAY029,Casper Shapovalov,Australia,Basketball,1380,25
PLAY030,Diego Schwartzman,Belgium,Football,2008,77
PLAY031,Carlos Bublik,Brazil,Football,2115,35
PLAY032,Grigor Klein,South Korea,Football,1911,94
PLAY033,Matteo Becker,Switzerland,Swimming,1908,69
PLAY034,Alexander Musetti,Czech Republic,Cycling,1526,53
