player_id,player_name,sport,report_month,monthly_avg_points
PLAY001,Matteo Fritz,Football,2023-06,2591
PLAY002,Novak Auger-Aliassime,Tennis,2023-06,2330
PLAY003,Matteo Alcaraz,Tennis,2023-06,1268
PLAY004,Holger Humbert,Boxing,2023-06,154
PLAY005,Daniil Berdych,Judo,2023-06,1069
PLAY006,Viktor Bublik,Judo,2023-06,2092
PLAY007,Holger Edberg,Boxing,2023-06,2726
PLAY008,Alexander Zverev,Tennis,2023-06,671
PLAY009,Rafael Musetti,Athletics,2023-06,2203
PLAY010,David Berdych,Basketball,2023-06,1424
PLAY011,Denis Becker,Swimming,2023-06,889
PLAY012,Tomas Zverev,Boxing,2023-06,711
PLAY013,Sebastian Becker,Football,2023-06,1890
PLAY014,Denis Tiafoe,Basketball,2023-06,2857
PLAY015,Diego Alcaraz,Football,2023-06,154
PLAY016,Casper Djokovic,Tennis,2023-06,1095
PLAY017,Carlos Sinner,Basketball,2023-06,3164
PLAY018,Andrey Berdych,Tennis,2023-06,2361
PLAY019,Alexander Schwartzman,Cycling,2023-06,1287
PLAY020,Boris Rossi,Football,2023-06,2119
PLAY021,Grigor Paul,Boxing,2023-06,1787
PLAY022,Daniil Wilander,Athletics,2023-06,1047
PLAY023,Lorenzo Berrettini,Basketball,2023-06,1749
PLAY024,Lorenzo Medvedev,Judo,2023-06,3130
PLAY025,Rafael Berrettini,Boxing,2023-06,1177
PLAY026,Tommy Bublik,Athletics,2023-06,150
PLAY027,Nicolas Rossi,Swimming,2023-06,2431
PLAY028,Francis Djokovic,Athletics,2023-06,1063
PLAY029,Casper Shapovalov,Basketball,2023-06,184
PLAY030,Diego Schwartzman,Football,2023-06,1821
PLAY031,Carlos Bublik,Football,2023-06,1847
PLAY032,Grigor Klein,Football,2023-06,1465
PLAY033,Matteo Becker,Swimming,2023-06,1597
PLAY034,Alexander Musetti,Cycling,2023-06,671
PLAY035,Tommy Alcaraz,Basketball,2023-06,1102
PLAY036,Diego Auger-Aliassime,Tennis,2023-06,2043
PLAY037,Matteo Klein,Tennis,2023-06,1950
PLAY038,Tommy Tsitsipas,Tennis,2023-06,854
PLAY039,Marco Troicki,Swimming,2023-06,883
PLAY040,Novak Dimitrov,Football,2023-06,1802
PLAY041,Felix Djokovic,Judo,2023-06,1269
PLAY042,Grigor Schwartzman,Judo,2023-06,2725
PLAY043,Grigor Edberg,Swimming,2023-06,2470
PLAY044,Carlos Fritz,Swimming,2023-06,1776
PLAY045,Dominic Shapovalov,Football,2023-06,1192
PLAY046,Rafael Bublik,Football,2023-06,2522
PLAY047,Taylor Auger-Aliassime,Swimming,2023-06,1200
PLAY048,Jannik Lendl,Basketball,2023-06,1808
PLAY049,Carlos Auger-Aliassime,Boxing,2023-06,635
PLAY050,Nicolas Djokovic,Football,2023-06,629
PLAY051,Felix Berrettini,Judo,2023-06,1125
PLAY052,Boris Troicki,Boxing,2023-06,1776
PLAY053,Lucas Medvedev,Judo,2023-06,2102
PLAY054,Sebastian Klein,Tennis,2023-06,2411
PLAY055,Boris Wilander,Football,2023-06,2574
PLAY056,Holger Zverev,Football,2023-06,480
PLAY057,Rafael Auger-Aliassime,Athletics,2023-06,1147
PLAY058,Pablo Rune,Basketball,2023-06,2239
PLAY059,Tomas Bublik,Boxing,2023-06,854
PLAY060,Stefanos Berdych,Tennis,2023-06,1862
PLAY061,Sebastian Troicki,Judo,2023-06,439
PLAY062,Francis Becker,Boxing,2023-06,598
PLAY063,Denis Bublik,Cycling,2023-06,2558
PLAY064,Stefanos Edberg,Tennis,2023-06,2456
PLAY065,Alexander Djokovic,Judo,2023-06,2872
PLAY066,Viktor Wilander,Swimming,2023-06,1294
PLAY067,Francis Nadal,Basketball,2023-06,2199
PLAY068,Lorenzo Rublev,Swimming,2023-06,1684
PLAY069,Rafael Edberg,Cycling,2023-06,706
PLAY070,Andrey Wawrinka,Tennis,2023-06,1756
PLAY071,Rafael Rune,Athletics,2023-06,1027
PLAY072,David Musetti,Cycling,2023-06,2883
PLAY073,Grigor Fritz,Tennis,2023-06,1066
PLAY074,Tomas Schwartzman,Judo,2023-06,2530
PLAY075,Denis Sinner,Football,2023-06,225
PLAY076,Rafael Wilander,Basketball,2023-06,2738
PLAY077,Lucas Rublev,Swimming,2023-06,1500
PLAY078,Lorenzo Auger-Aliassime,Basketball,2023-06,671
PLAY079,Dominic Wilander,Cycling,2023-06,527
PLAY080,Rafael Thiem,Basketball,2023-06,1269
PLAY081,Lucas Rune,Judo,2023-06,2730
PLAY082,Jannik Medvedev,Tennis,2023-06,187
PLAY083,Nicolas Auger-Aliassime,Swimming,2023-06,357
PLAY084,Tommy Wawrinka,Cycling,2023-06,1969
PLAY085,Taylor Lendl,Football,2023-06,1526
PLAY086,Francis Wawrinka,Judo,2023-06,422
