player_id,player_name,nationality,sport,points_norm,rank_percentile
PLAY001,Matteo Fritz,Norway,Football,85.5,0.9
PLAY002,Novak Auger-Aliassime,Sweden,Tennis,88.2,0.92
PLAY003,Matteo Alcaraz,Germany,Tennis,38.6,1.0
PLAY004,Holger Humbert,Portugal,Boxing,5.0,0.95
PLAY005,Daniil Berdych,Belgium,Judo,34.4,0.38
PLAY006,Viktor Bublik,United States,Judo,75.4,0.94
PLAY007,Holger Edberg,Switzerland,Boxing,88.1,0.17
PLAY008,Alexander Zverev,Switzerland,Tennis,23.1,0.65
PLAY009,Rafael Musetti,United Kingdom,Athletics,71.3,0.27
PLAY010,David Berdych,United States,Basketball,52.8,0.52
PLAY011,Denis Becker,Austria,Swimming,28.8,0.73
PLAY012,Tomas Zverev,Norway,Boxing,21.3,0.62
PLAY013,Sebastian Becker,Denmark,Football,71.1,0.02
PLAY014,Denis Tiafoe,India,Basketball,86.0,0.5
PLAY015,Diego Alcaraz,Norway,Football,5.3,0.98
PLAY016,Casper Djokovic,Canada,Tennis,33.8,0.64
PLAY017,Carlos Sinner,Mexico,Basketball,99.5,0.32
PLAY018,Andrey Berdych,South Africa,Tennis,78.0,0.56
PLAY019,Alexander Schwartzman,Switzerland,Cycling,40.9,0.82
PLAY020,Boris Rossi,France,Football,65.2,0.18
PLAY021,Grigor Paul,Mexico,Boxing,61.4,0.33
PLAY022,Daniil Wilander,China,Athletics,36.7,0.87
PLAY023,Lorenzo Berrettini,Spain,Basketball,56.4,0.89
PLAY024,Lorenzo Medvedev,Germany,Judo,97.8,0.51
PLAY025,Rafael Berrettini,France,Boxing,37.2,0.06
PLAY026,Tommy Bublik,Belgium,Athletics,4.7,0.85
PLAY027,Nicolas Rossi,South Korea,Swimming,82.9,0.6
PLAY028,Francis Djokovic,Switzerland,Athletics,33.2,0.32
PLAY029,Casper Shapovalov,Australia,Basketball,6.8,0.8
PLAY030,Diego Schwartzman,Belgium,Football,60.5,0.37
PLAY031,Carlos Bublik,Brazil,Football,70.3,0.72
PLAY032,Grigor Klein,South Korea,Football,51.3,0.22
PLAY033,Matteo Becker,Switzerland,Swimming,55.4,0.43
PLAY034,Alexander Musetti,Czech Republic,Cycling,23.1,0.57
PLAY035,Tommy Alcaraz,Norway,Basketball,35.3,0.21
PLAY036,Diego Auger-Aliassime,Belgium,Tennis,70.5,0.09
PLAY037,Matteo Klein,Spain,Tennis,66.3,0.4
PLAY038,Tommy Tsitsipas,Poland,Tennis,30.6,0.18
PLAY039,Marco Troicki,India,Swimming,30.6,0.11
PLAY040,Novak Dimitrov,Belgium,Football,64.7,0.55
PLAY041,Felix Djokovic,Sweden,Judo,47.4,0.66
PLAY042,Grigor Schwartzman,Japan,Judo,89.2,0.78
PLAY043,Grigor Edberg,Belgium,Swimming,79.7,0.25
PLAY044,Carlos Fritz,Japan,Swimming,58.0,0.75
