player_id,player_name,sport,season,season_avg_points
PLAY001,Matteo Fritz,Football,2022-2023,2880
PLAY002,Novak Auger-Aliassime,Tennis,2022-2023,2359
PLAY003,Matteo Alcaraz,Tennis,2022-2023,982
PLAY004,Holger Humbert,Boxing,2022-2023,122
PLAY005,Daniil Berdych,Judo,2022-2023,1078
PLAY006,Viktor Bublik,Judo,2022-2023,2332
PLAY007,Holger Edberg,Boxing,2022-2023,2670
PLAY008,Alexander Zverev,Tennis,2022-2023,622
PLAY009,Rafael Musetti,Athletics,2022-2023,2042
PLAY010,David Berdych,Basketball,2022-2023,1626
PLAY011,Denis Becker,Swimming,2022-2023,856
PLAY012,Tomas Zverev,Boxing,2022-2023,746
PLAY013,Sebastian Becker,Football,2022-2023,1842
PLAY014,Denis Tiafoe,Basketball,2022-2023,2744
PLAY015,Diego Alcaraz,Football,2022-2023,152
PLAY016,Casper Djokovic,Tennis,2022-2023,979
PLAY017,Carlos Sinner,Basketball,2022-2023,3196
PLAY018,Andrey Berdych,Tennis,2022-2023,2484
PLAY019,Alexander Schwartzman,Cycling,2022-2023,1433
PLAY020,Boris Rossi,Football,2022-2023,1683
PLAY021,Grigor Paul,Boxing,2022-2023,1569
PLAY022,Daniil Wilander,Athletics,2022-2023,1181
PLAY023,Lorenzo Berrettini,Basketball,2022-2023,1729
PLAY024,Lorenzo Medvedev,Judo,2022-2023,2678
PLAY025,Rafael Berrettini,Boxing,2022-2023,940
PLAY026,Tommy Bublik,Athletics,2022-2023,119
PLAY027,Nicolas Rossi,Swimming,2022-2023,2820
PLAY028,Francis Djokovic,Athletics,2022-2023,878
PLAY029,Casper Shapovalov,Basketball,2022-2023,190
PLAY030,Diego Schwartzman,Football,2022-2023,1624
PLAY031,Carlos Bublik,Football,2022-2023,1986
PLAY032,Grigor Klein,Football,2022-2023,1292
PLAY033,Matteo Becker,Swimming,2022-2023,1661
PLAY034,Alexander Musetti,Cycling,2022-2023,581
PLAY035,Tommy Alcaraz,Basketball,2022-2023,1166
PLAY036,Diego Auger-Aliassime,Tennis,2022-2023,1898
PLAY037,Matteo Klein,Tennis,2022-2023,2003
PLAY038,Tommy Tsitsipas,Tennis,2022-2023,1036
PLAY039,Marco Troicki,Swimming,2022-2023,960
PLAY040,Novak Dimitrov,Football,2022-2023,1951
PLAY041,Felix Djokovic,Judo,2022-2023,1324
PLAY042,Grigor Schwartzman,Judo,2022-2023,2499
PLAY043,Grigor Edberg,Swimming,2022-2023,2519
PLAY044,Carlos Fritz,Swimming,2022-2023,2034
PLAY045,Dominic Shapovalov,Football,2022-2023,1273
PLAY046,Rafael Bublik,Football,2022-2023,2651
PLAY047,Taylor Auger-Aliassime,Swimming,2022-2023,1195
PLAY048,Jannik Lendl,Basketball,2022-2023,1777
PLAY049,Carlos Auger-Aliassime,Boxing,2022-2023,537
PLAY050,Nicolas Djokovic,Football,2022-2023,725
PLAY051,Felix Berrettini,Judo,2022-2023,1362
PLAY052,Boris Troicki,Boxing,2022-2023,1615
PLAY053,Lucas Medvedev,Judo,2022-2023,2302
