respondent_id,age_group,country,gender_abbr
R0001,45-54,United Kingdom,F
R0002,65+,Serbia,F
R0003,18-24,Italy,M
R0004,45-54,Poland,M
R0005,65+,Norway,M
R0006,65+,Serbia,M
R0007,65+,Germany,NB
R0008,45-54,Serbia,NB
R0009,65+,Croatia,M
R0010,18-24,Italy,M
R0011,18-24,Italy,M
R0012,65+,Portugal,F
R0013,18-24,Switzerland,M
R0014,55-64,Poland,F
R0015,65+,Italy,M
R0016,25-34,Serbia,F
R0017,65+,Czech Republic,F
R0018,55-64,United Kingdom,M
R0019,35-44,Germany,M
R0020,55-64,United States,F
R0021,65+,Spain,F
R0022,55-64,Sweden,F
R0023,45-54,Germany,F
R0024,55-64,Sweden,F
R0025,65+,Italy,F
R0026,25-34,Italy,NB
R0027,55-64,United States,M
R0028,55-64,Croatia,M
R0029,18-24,France,M
R0030,55-64,Brazil,M
R0031,25-34,Germany,F
R0032,35-44,France,F
R0033,18-24,Portugal,M
R0034,35-44,Sweden,M
R0035,45-54,Spain,M
R0036,35-44,France,M
R0037,35-44,Sweden,F
R0038,25-34,Switzerland,F
R0039,65+,Canada,F
R0040,35-44,Norway,F
R0041,55-64,Brazil,F
R0042,18-24,France,F
R0043,18-24,Brazil,M
R0044,35-44,Brazil,M
R0045,55-64,Sweden,M
R0046,55-64,Netherlands,M
R0047,25-34,Norway,M
R0048,18-24,Sweden,F
R0049,35-44,Serbia,M
R0050,25-34,Serbia,F
R0051,18-24,Australia,F
R0052,45-54,United Kingdom,F
R0053,25-34,Germany,F
R0054,65+,Australia,F
R0055,65+,Brazil,F
R0056,35-44,Switzerland,F
R0057,65+,Portugal,F
R0058,25-34,Czech Republic,F
R0059,35-44,Czech Republic,M
R0060,18-24,Norway,F
R0061,18-24,Australia,M
R0062,55-64,Italy,M
R0063,55-64,Czech Republic,F
R0064,35-44,Germany,M
R0065,35-44,Australia,M
R0066,25-34,Australia,M
R0067,18-24,Serbia,M
R0068,45-54,Italy,M
R0069,25-34,Portugal,M
R0070,35-44,Switzerland,F
R0071,18-24,Portugal,F
R0072,65+,Switzerland,M
R0073,55-64,Australia,M
R0074,18-24,France,F
R0075,35-44,Serbia,M
R0076,35-44,Sweden,M
R0077,55-64,Serbia,F
R0078,55-64,United Kingdom,F
R0079,18-24,Portugal,M
R0080,25-34,United Kingdom,F
R0081,45-54,Switzerland,M
R0082,35-44,France,F
R0083,65+,Netherlands,F
R0084,25-34,Norway,F
R0085,65+,Croatia,F
R0086,45-54,Netherlands,M
R0087,55-64,Japan,F
R0088,45-54,Portugal,M
R0089,25-34,Japan,F
R0090,18-24,Japan,F
R0091,35-44,Germany,F
R0092,18-24,Germany,F
R0093,25-34,Germany,F
R0094,55-64,France,M
R0095,65+,Japan,M
R0096,45-54,Spain,F
R0097,65+,Portugal,F
R0098,25-34,Poland,F
R0099,55-64,Sweden,F
R0100,18-24,Serbia,F
R0101,55-64,Brazil,M
R0102,18-24,Czech Republic,F
R0103,55-64,Netherlands,F
R0104,65+,Portugal,M
R0105,55-64,France,F
R0106,45-54,United States,F
R0107,55-64,Argentina,F
R0108,18-24,Netherlands,M
R0109,55-64,Netherlands,M
R0110,45-54,Poland,M
R0111,25-34,Netherlands,F
R0112,35-44,Argentina,M
R0113,18-24,Japan,F
R0114,45-54,Japan,M
R0115,25-34,Spain,M
R0116,65+,Switzerland,F
R0117,25-34,Japan,F
R0118,55-64,France,F
R0119,55-64,Poland,F
R0120,35-44,Spain,M
R0121,45-54,Canada,F
R0122,35-44,Italy,M
R0123,35-44,United States,M
R0124,35-44,Spain,F
R0125,45-54,Poland,M
R0126,18-24,Portugal,M
R0127,25-34,Czech Republic,F
R0128,45-54,Spain,M
R0129,65+,Australia,M
R0130,45-54,Serbia,M
R0131,35-44,Netherlands,M
R0132,25-34,Sweden,F
R0133,18-24,Croatia,M
R0134,45-54,United States,F
R0135,35-44,Czech Republic,M
R0136,35-44,Brazil,M
R0137,25-34,Japan,M
R0138,25-34,Serbia,M
R0139,65+,Canada,F
R0140,25-34,Brazil,M
R0141,65+,Australia,F
R0142,45-54,Poland,M
R0143,45-54,United Kingdom,F
R0144,45-54,Portugal,M
R0145,65+,Serbia,F
R0146,18-24,Italy,M
R0147,25-34,United Kingdom,M
R0148,55-64,Spain,M
R0149,65+,Argentina,NB
R0150,65+,Canada,M
R0151,55-64,Spain,F
R0152,45-54,Japan,F
R0153,45-54,Germany,M
R0154,45-54,Argentina,NB
R0155,25-34,Portugal,F
R0156,25-34,Australia,M
R0157,18-24,Australia,NB
R0158,25-34,Czech Republic,F
R0159,45-54,Italy,M
R0160,65+,Portugal,F
R0161,25-34,Brazil,F
R0162,65+,United Kingdom,F
R0163,18-24,United Kingdom,M
R0164,18-24,Australia,F
R0165,25-34,Czech Republic,M
R0166,55-64,Brazil,M
R0167,18-24,Serbia,M
R0168,55-64,Japan,F
R0169,65+,Argentina,F
