respondent_id,age_group,country,gender_code
R0001,45-54,United Kingdom,0
R0002,65+,Serbia,0
R0003,18-24,Italy,1
R0004,45-54,Poland,1
R0005,65+,Norway,1
R0006,65+,Serbia,1
R0007,65+,Germany,2
R0008,45-54,Serbia,2
R0009,65+,Croatia,1
R0010,18-24,Italy,1
R0011,18-24,Italy,1
R0012,65+,Portugal,0
R0013,18-24,Switzerland,1
R0014,55-64,Poland,0
R0015,65+,Italy,1
R0016,25-34,Serbia,0
R0017,65+,Czech Republic,0
R0018,55-64,United Kingdom,1
R0019,35-44,Germany,1
R0020,55-64,United States,0
R0021,65+,Spain,0
R0022,55-64,Sweden,0
R0023,45-54,Germany,0
R0024,55-64,Sweden,0
R0025,65+,Italy,0
R0026,25-34,Italy,2
R0027,55-64,United States,1
R0028,55-64,Croatia,1
R0029,18-24,France,1
R0030,55-64,Brazil,1
R0031,25-34,Germany,0
R0032,35-44,France,0
R0033,18-24,Portugal,1
R0034,35-44,Sweden,1
R0035,45-54,Spain,1
R0036,35-44,France,1
R0037,35-44,Sweden,0
R0038,25-34,Switzerland,0
R0039,65+,Canada,0
R0040,35-44,Norway,0
R0041,55-64,Brazil,0
R0042,18-24,France,0
R0043,18-24,Brazil,1
R0044,35-44,Brazil,1
R0045,55-64,Sweden,1
R0046,55-64,Netherlands,1
R0047,25-34,Norway,1
R0048,18-24,Sweden,0
R0049,35-44,Serbia,1
R0050,25-34,Serbia,0
R0051,18-24,Australia,0
R0052,45-54,United Kingdom,0
R0053,25-34,Germany,0
R0054,65+,Australia,0
R0055,65+,Brazil,0
R0056,35-44,Switzerland,0
R0057,65+,Portugal,0
R0058,25-34,Czech Republic,0
R0059,35-44,Czech Republic,1
R0060,18-24,Norway,0
R0061,18-24,Australia,1
R0062,55-64,Italy,1
R0063,55-64,Czech Republic,0
R0064,35-44,Germany,1
R0065,35-44,Australia,1
R0066,25-34,Australia,1
R0067,18-24,Serbia,1
R0068,45-54,Italy,1
R0069,25-34,Portugal,1
R0070,35-44,Switzerland,0
R0071,18-24,Portugal,0
R0072,65+,Switzerland,1
R0073,55-64,Australia,1
R0074,18-24,France,0
R0075,35-44,Serbia,1
R0076,35-44,Sweden,1
R0077,55-64,Serbia,0
R0078,55-64,United Kingdom,0
R0079,18-24,Portugal,1
R0080,25-34,United Kingdom,0
R0081,45-54,Switzerland,1
R0082,35-44,France,0
R0083,65+,Netherlands,0
