venue_id,venue_name,year,total_annual_attendance,match_count
VEN001,Rotterdam Heritage Stadium 1,2022,354380,10
VEN002,Warsaw Riverside Sports Park 2,2022,320946,6
VEN003,Salzburg Riverside Sports Park 3,2022,95056,8
VEN004,London Central Arena 4,2022,258855,15
VEN005,Vienna Apex Stadium 5,2022,246465,9
VEN006,Vienna Central Arena 6,2022,163908,12
VEN007,Paris Civic Arena 7,2022,287880,8
VEN008,Copenhagen Metropolitan Arena 8,2022,529045,11
VEN009,Hamburg City Sports Complex 9,2022,91860,6
VEN010,Madrid Championship Grounds 10,2022,297684,12
VEN011,Prague Phoenix Arena 11,2022,547430,10
VEN012,Helsinki Heritage Stadium 12,2022,525497,7
VEN013,Krakow Capital Sports Center 13,2022,286643,7
VEN014,Stockholm Grand Stadium 14,2022,219810,6
VEN015,Salzburg Central Arena 15,2022,161832,11
VEN016,Dublin Grand Stadium 16,2022,441060,15
VEN017,Salzburg Civic Arena 17,2022,437567,13
VEN018,Ghent Grand Stadium 18,2022,309960,15
VEN019,Gothenburg Phoenix Arena 19,2022,145062,9
VEN020,Amsterdam Grand Stadium 20,2022,108070,10
VEN021,Madrid Metropolitan Arena 21,2022,63872,8
VEN022,Salzburg Northern Athletic Center 22,2022,95810,13
VEN023,Oslo Apex Stadium 23,2022,422170,14
VEN024,Helsinki Apex Stadium 24,2022,190840,8
VEN025,Oslo Heritage Stadium 25,2022,133216,8
VEN026,Porto Capital Sports Center 26,2022,140252,7
VEN027,Amsterdam Riverside Sports Park 27,2022,290110,10
VEN028,Turin National Arena 28,2022,318195,15
VEN029,Rotterdam Northern Athletic Center 29,2022,106330,10
VEN030,Zurich Championship Grounds 30,2022,238056,6
VEN031,Barcelona Premier Grounds 31,2022,299893,11
VEN032,Gothenburg Apex Stadium 32,2022,405780,15
VEN033,Copenhagen Premier Grounds 33,2022,614610,15
VEN034,Hamburg Championship Grounds 34,2022,119984,8
VEN035,London Capital Sports Center 35,2022,558396,12
VEN036,Salzburg National Arena 36,2022,240669,11
VEN037,Lisbon Central Arena 37,2022,397910,10
VEN038,Oslo Riverside Sports Park 38,2022,487487,13
VEN039,Copenhagen National Arena 39,2022,200025,15
VEN040,Lisbon Harbor Arena 40,2022,258984,9
VEN041,Turin Grand Stadium 41,2022,297231,11
