match_id,venue_id,venue_name,event_date,attendance
M00001,VEN001,Rotterdam Heritage Stadium 1,2022-01-17,34162
M00002,VEN001,Rotterdam Heritage Stadium 1,2023-07-26,39553
M00003,VEN001,Rotterdam Heritage Stadium 1,2021-02-04,42012
M00004,VEN001,Rotterdam Heritage Stadium 1,2021-04-20,33941
M00005,VEN001,Rotterdam Heritage Stadium 1,2022-05-26,33981
M00006,VEN001,Rotterdam Heritage Stadium 1,2022-07-15,31464
M00007,VEN001,Rotterdam Heritage Stadium 1,2023-04-10,34730
M00008,VEN001,Rotterdam Heritage Stadium 1,2021-11-28,37044
M00009,VEN001,Rotterdam Heritage Stadium 1,2021-02-13,36380
M00010,VEN001,Rotterdam Heritage Stadium 1,2023-08-02,31121
M00011,VEN002,Warsaw Riverside Sports Park 2,2021-08-28,57073
M00012,VEN002,Warsaw Riverside Sports Park 2,2022-10-28,49099
M00013,VEN002,Warsaw Riverside Sports Park 2,2023-01-08,65107
M00014,VEN002,Warsaw Riverside Sports Park 2,2023-10-16,42503
M00015,VEN002,Warsaw Riverside Sports Park 2,2021-11-09,44272
M00016,VEN002,Warsaw Riverside Sports Park 2,2023-11-02,62897
M00017,VEN003,Salzburg Riverside Sports Park 3,2022-01-07,13695
M00018,VEN003,Salzburg Riverside Sports Park 3,2023-07-03,11519
M00019,VEN003,Salzburg Riverside Sports Park 3,2023-04-19,9687
M00020,VEN003,Salzburg Riverside Sports Park 3,2022-11-18,13096
M00021,VEN003,Salzburg Riverside Sports Park 3,2023-03-26,9894
M00022,VEN003,Salzburg Riverside Sports Park 3,2023-02-17,14075
M00023,VEN003,Salzburg Riverside Sports Park 3,2022-01-04,12528
M00024,VEN003,Salzburg Riverside Sports Park 3,2021-06-20,10564
M00025,VEN004,London Central Arena 4,2022-06-01,21740
M00026,VEN004,London Central Arena 4,2022-08-08,18537
M00027,VEN004,London Central Arena 4,2022-07-06,15758
M00028,VEN004,London Central Arena 4,2023-07-03,18992
M00029,VEN004,London Central Arena 4,2022-04-23,19915
M00030,VEN004,London Central Arena 4,2022-03-13,12939
M00031,VEN004,London Central Arena 4,2023-03-24,19311
M00032,VEN004,London Central Arena 4,2022-02-03,16095
M00033,VEN004,London Central Arena 4,2022-08-12,12256
M00034,VEN004,London Central Arena 4,2021-03-03,19807
M00035,VEN004,London Central Arena 4,2022-09-18,14076
M00036,VEN004,London Central Arena 4,2021-01-03,17322
M00037,VEN004,London Central Arena 4,2021-10-20,15739
M00038,VEN004,London Central Arena 4,2022-01-10,20038
M00039,VEN004,London Central Arena 4,2021-12-18,16337
M00040,VEN005,Vienna Apex Stadium 5,2021-11-13,28672
M00041,VEN005,Vienna Apex Stadium 5,2022-05-09,22240
M00042,VEN005,Vienna Apex Stadium 5,2021-03-14,27412
M00043,VEN005,Vienna Apex Stadium 5,2022-08-26,23942
M00044,VEN005,Vienna Apex Stadium 5,2022-04-24,20761
M00045,VEN005,Vienna Apex Stadium 5,2023-10-07,29520
M00046,VEN005,Vienna Apex Stadium 5,2021-05-01,26849
M00047,VEN005,Vienna Apex Stadium 5,2022-10-13,34695
M00048,VEN005,Vienna Apex Stadium 5,2022-08-11,32381
M00049,VEN006,Vienna Central Arena 6,2023-10-05,15785
M00050,VEN006,Vienna Central Arena 6,2023-12-07,11795
M00051,VEN006,Vienna Central Arena 6,2021-07-11,13179
M00052,VEN006,Vienna Central Arena 6,2023-11-16,11726
M00053,VEN006,Vienna Central Arena 6,2021-06-13,16965
M00054,VEN006,Vienna Central Arena 6,2022-06-04,11639
M00055,VEN006,Vienna Central Arena 6,2021-10-18,16688
M00056,VEN006,Vienna Central Arena 6,2023-01-24,10862
M00057,VEN006,Vienna Central Arena 6,2023-04-15,13044
M00058,VEN006,Vienna Central Arena 6,2023-02-27,15647
M00059,VEN006,Vienna Central Arena 6,2022-11-16,16035
M00060,VEN006,Vienna Central Arena 6,2022-04-09,10546
M00061,VEN007,Paris Civic Arena 7,2022-02-15,38438
M00062,VEN007,Paris Civic Arena 7,2022-10-13,43903
M00063,VEN007,Paris Civic Arena 7,2023-07-18,34850
M00064,VEN007,Paris Civic Arena 7,2022-12-26,24977
M00065,VEN007,Paris Civic Arena 7,2023-02-04,34900
M00066,VEN007,Paris Civic Arena 7,2023-11-12,39504
M00067,VEN007,Paris Civic Arena 7,2023-01-19,27548
M00068,VEN007,Paris Civic Arena 7,2023-11-13,43762
M00069,VEN008,Copenhagen Metropolitan Arena 8,2022-02-01,61585
M00070,VEN008,Copenhagen Metropolitan Arena 8,2021-09-24,37178
M00071,VEN008,Copenhagen Metropolitan Arena 8,2023-12-19,49005
M00072,VEN008,Copenhagen Metropolitan Arena 8,2022-07-15,40623
M00073,VEN008,Copenhagen Metropolitan Arena 8,2023-12-17,56142
M00074,VEN008,Copenhagen Metropolitan Arena 8,2021-08-04,38645
M00075,VEN008,Copenhagen Metropolitan Arena 8,2021-02-27,42718
M00076,VEN008,Copenhagen Metropolitan Arena 8,2021-06-10,60880
M00077,VEN008,Copenhagen Metropolitan Arena 8,2021-09-16,44058
M00078,VEN008,Copenhagen Metropolitan Arena 8,2021-08-24,44206
M00079,VEN008,Copenhagen Metropolitan Arena 8,2022-02-10,54014
M00080,VEN009,Hamburg City Sports Complex 9,2021-01-28,19334
M00081,VEN009,Hamburg City Sports Complex 9,2021-11-26,14890
M00082,VEN009,Hamburg City Sports Complex 9,2023-04-17,13190
M00083,VEN009,Hamburg City Sports Complex 9,2021-06-18,13286
M00084,VEN009,Hamburg City Sports Complex 9,2022-04-26,15683
M00085,VEN009,Hamburg City Sports Complex 9,2021-03-21,15480
M00086,VEN010,Madrid Championship Grounds 10,2023-10-07,22351
M00087,VEN010,Madrid Championship Grounds 10,2022-07-01,23097
M00088,VEN010,Madrid Championship Grounds 10,2021-05-25,26622
M00089,VEN010,Madrid Championship Grounds 10,2021-10-04,26609
M00090,VEN010,Madrid Championship Grounds 10,2023-03-12,27931
M00091,VEN010,Madrid Championship Grounds 10,2022-02-09,21389
M00092,VEN010,Madrid Championship Grounds 10,2022-09-21,26152
M00093,VEN010,Madrid Championship Grounds 10,2022-10-13,21216
M00094,VEN010,Madrid Championship Grounds 10,2022-06-28,24996
M00095,VEN010,Madrid Championship Grounds 10,2021-11-23,23211
M00096,VEN010,Madrid Championship Grounds 10,2023-10-03,27947
M00097,VEN010,Madrid Championship Grounds 10,2022-02-08,26171
M00098,VEN011,Prague Phoenix Arena 11,2022-12-05,43298
M00099,VEN011,Prague Phoenix Arena 11,2022-10-05,56032
M00100,VEN011,Prague Phoenix Arena 11,2022-03-16,58101
M00101,VEN011,Prague Phoenix Arena 11,2023-11-06,60064
M00102,VEN011,Prague Phoenix Arena 11,2022-05-05,57458
M00103,VEN011,Prague Phoenix Arena 11,2022-10-02,45566
M00104,VEN011,Prague Phoenix Arena 11,2021-08-05,67501
M00105,VEN011,Prague Phoenix Arena 11,2022-09-17,45825
M00106,VEN011,Prague Phoenix Arena 11,2022-11-16,60632
M00107,VEN011,Prague Phoenix Arena 11,2022-08-06,52955
M00108,VEN012,Helsinki Heritage Stadium 12,2021-05-02,71031
M00109,VEN012,Helsinki Heritage Stadium 12,2023-05-06,59486
M00110,VEN012,Helsinki Heritage Stadium 12,2023-12-25,79588
M00111,VEN012,Helsinki Heritage Stadium 12,2023-09-04,78999
M00112,VEN012,Helsinki Heritage Stadium 12,2022-09-27,71322
M00113,VEN012,Helsinki Heritage Stadium 12,2023-01-25,87939
M00114,VEN012,Helsinki Heritage Stadium 12,2023-04-14,77134
M00115,VEN013,Krakow Capital Sports Center 13,2023-04-10,41354
M00116,VEN013,Krakow Capital Sports Center 13,2021-08-09,44286
M00117,VEN013,Krakow Capital Sports Center 13,2021-08-28,33172
M00118,VEN013,Krakow Capital Sports Center 13,2021-04-26,46802
M00119,VEN013,Krakow Capital Sports Center 13,2023-06-28,41388
M00120,VEN013,Krakow Capital Sports Center 13,2023-07-06,40821
M00121,VEN013,Krakow Capital Sports Center 13,2021-04-26,38823
M00122,VEN014,Stockholm Grand Stadium 14,2023-05-20,34543
M00123,VEN014,Stockholm Grand Stadium 14,2022-12-10,33940
M00124,VEN014,Stockholm Grand Stadium 14,2022-09-22,29132
M00125,VEN014,Stockholm Grand Stadium 14,2021-07-02,39267
M00126,VEN014,Stockholm Grand Stadium 14,2023-03-23,42685
M00127,VEN014,Stockholm Grand Stadium 14,2021-03-23,40248
M00128,VEN015,Salzburg Central Arena 15,2023-07-16,16586
M00129,VEN015,Salzburg Central Arena 15,2023-05-21,11035
M00130,VEN015,Salzburg Central Arena 15,2022-02-21,13236
M00131,VEN015,Salzburg Central Arena 15,2021-07-17,16312
M00132,VEN015,Salzburg Central Arena 15,2023-06-15,15950
M00133,VEN015,Salzburg Central Arena 15,2022-10-01,17571
M00134,VEN015,Salzburg Central Arena 15,2023-02-24,16913
