venue_id,venue_name,season,avg_season_attendance,match_count
VEN001,Rotterdam Heritage Stadium 1,2022-23,35438,10
VEN002,Warsaw Riverside Sports Park 2,2022-23,53491,6
VEN003,Salzburg Riverside Sports Park 3,2022-23,11882,8
VEN004,London Central Arena 4,2022-23,17257,15
VEN005,Vienna Apex Stadium 5,2022-23,27385,9
VEN006,Vienna Central Arena 6,2022-23,13659,12
VEN007,Paris Civic Arena 7,2022-23,35985,8
VEN008,Copenhagen Metropolitan Arena 8,2022-23,48095,11
VEN009,Hamburg City Sports Complex 9,2022-23,15310,6
VEN010,Madrid Championship Grounds 10,2022-23,24807,12
VEN011,Prague Phoenix Arena 11,2022-23,54743,10
VEN012,Helsinki Heritage Stadium 12,2022-23,75071,7
VEN013,Krakow Capital Sports Center 13,2022-23,40949,7
VEN014,Stockholm Grand Stadium 14,2022-23,36635,6
VEN015,Salzburg Central Arena 15,2022-23,14712,11
VEN016,Dublin Grand Stadium 16,2022-23,29404,15
VEN017,Salzburg Civic Arena 17,2022-23,33659,13
VEN018,Ghent Grand Stadium 18,2022-23,20664,15
VEN019,Gothenburg Phoenix Arena 19,2022-23,16118,9
VEN020,Amsterdam Grand Stadium 20,2022-23,10807,10
VEN021,Madrid Metropolitan Arena 21,2022-23,7984,8
VEN022,Salzburg Northern Athletic Center 22,2022-23,7370,13
VEN023,Oslo Apex Stadium 23,2022-23,30155,14
VEN024,Helsinki Apex Stadium 24,2022-23,23855,8
VEN025,Oslo Heritage Stadium 25,2022-23,16652,8
VEN026,Porto Capital Sports Center 26,2022-23,20036,7
VEN027,Amsterdam Riverside Sports Park 27,2022-23,29011,10
VEN028,Turin National Arena 28,2022-23,21213,15
VEN029,Rotterdam Northern Athletic Center 29,2022-23,10633,10
VEN030,Zurich Championship Grounds 30,2022-23,39676,6
VEN031,Barcelona Premier Grounds 31,2022-23,27263,11
VEN032,Gothenburg Apex Stadium 32,2022-23,27052,15
VEN033,Copenhagen Premier Grounds 33,2022-23,40974,15
VEN034,Hamburg Championship Grounds 34,2022-23,14998,8
VEN035,London Capital Sports Center 35,2022-23,46533,12
VEN036,Salzburg National Arena 36,2022-23,21879,11
