venue_id,venue_name,city,country,capacity_thousands,standing_thousands
VEN001,Rotterdam Heritage Stadium 1,Rotterdam,Netherlands,43.2,3.9
VEN002,Warsaw Riverside Sports Park 2,Warsaw,Poland,65.9,8.8
VEN003,Salzburg Riverside Sports Park 3,Salzburg,Austria,14.1,2.3
VEN004,London Central Arena 4,London,UK,22.2,0.4
VEN005,Vienna Apex Stadium 5,Vienna,Austria,35.5,0.4
VEN006,Vienna Central Arena 6,Vienna,Austria,17.2,2.6
VEN007,Paris Civic Arena 7,Paris,France,44.1,0.8
VEN008,Copenhagen Metropolitan Arena 8,Copenhagen,Denmark,62.6,7.7
VEN009,Hamburg City Sports Complex 9,Hamburg,Germany,21.1,3.2
VEN010,Madrid Championship Grounds 10,Madrid,Spain,30.7,4.5
VEN011,Prague Phoenix Arena 11,Prague,Czech Republic,71.8,10.7
VEN012,Helsinki Heritage Stadium 12,Helsinki,Finland,88.3,10.7
VEN013,Krakow Capital Sports Center 13,Krakow,Poland,46.9,2.4
VEN014,Stockholm Grand Stadium 14,Stockholm,Sweden,42.8,5.3
VEN015,Salzburg Central Arena 15,Salzburg,Austria,18.0,0.4
VEN016,Dublin Grand Stadium 16,Dublin,Ireland,37.2,6.1
VEN017,Salzburg Civic Arena 17,Salzburg,Austria,41.9,1.4
VEN018,Ghent Grand Stadium 18,Ghent,Belgium,26.4,1.4
VEN019,Gothenburg Phoenix Arena 19,Gothenburg,Sweden,21.0,1.6
VEN020,Amsterdam Grand Stadium 20,Amsterdam,Netherlands,13.9,1.2
VEN021,Madrid Metropolitan Arena 21,Madrid,Spain,10.6,0.6
VEN022,Salzburg Northern Athletic Center 22,Salzburg,Austria,9.3,0.7
VEN023,Oslo Apex Stadium 23,Oslo,Norway,42.5,5.3
VEN024,Helsinki Apex Stadium 24,Helsinki,Finland,32.8,1.1
VEN025,Oslo Heritage Stadium 25,Oslo,Norway,22.4,1.1
VEN026,Porto Capital Sports Center 26,Porto,Portugal,24.6,0.9
VEN027,Amsterdam Riverside Sports Park 27,Amsterdam,Netherlands,34.0,3.8
VEN028,Turin National Arena 28,Turin,Italy,27.2,1.5
VEN029,Rotterdam Northern Athletic Center 29,Rotterdam,Netherlands,13.4,1.4
VEN030,Zurich Championship Grounds 30,Zurich,Switzerland,51.9,3.2
VEN031,Barcelona Premier Grounds 31,Barcelona,Spain,36.0,5.2
VEN032,Gothenburg Apex Stadium 32,Gothenburg,Sweden,35.2,3.5
VEN033,Copenhagen Premier Grounds 33,Copenhagen,Denmark,49.6,1.4
VEN034,Hamburg Championship Grounds 34,Hamburg,Germany,18.4,0.4
VEN035,London Capital Sports Center 35,London,UK,62.1,7.8
VEN036,Salzburg National Arena 36,Salzburg,Austria,27.6,2.0
VEN037,Lisbon Central Arena 37,Lisbon,Portugal,51.1,6.3
VEN038,Oslo Riverside Sports Park 38,Oslo,Norway,46.6,6.2
VEN039,Copenhagen National Arena 39,Copenhagen,Denmark,16.1,1.2
VEN040,Lisbon Harbor Arena 40,Lisbon,Portugal,40.6,5.4
VEN041,Turin Grand Stadium 41,Turin,Italy,36.5,1.9
VEN042,Hamburg Unity Sports Center 42,Hamburg,Germany,30.6,1.0
VEN043,Stockholm Premier Grounds 43,Stockholm,Sweden,28.3,1.3
VEN044,Hamburg Northern Athletic Center 44,Hamburg,Germany,28.5,4.1
VEN045,Turin Northern Athletic Center 45,Turin,Italy,48.9,1.0
VEN046,Brussels Central Arena 46,Brussels,Belgium,42.4,5.0
VEN047,Vienna Phoenix Arena 47,Vienna,Austria,30.6,1.1
VEN048,London Harbor Arena 48,London,UK,12.3,0.9
VEN049,Prague Phoenix Arena 49,Prague,Czech Republic,40.4,5.8
VEN050,Krakow Heritage Stadium 50,Krakow,Poland,46.3,4.4
VEN051,Krakow Olympic Center 51,Krakow,Poland,95.0,4.1
VEN052,Athens Apex Stadium 52,Athens,Greece,57.2,7.3
VEN053,Turin Olympic Center 53,Turin,Italy,9.6,0.7
VEN054,Salzburg Metropolitan Arena 54,Salzburg,Austria,31.4,4.6
VEN055,Paris Apex Stadium 55,Paris,France,88.9,13.6
VEN056,Warsaw City Sports Complex 56,Warsaw,Poland,43.6,4.7
VEN057,Amsterdam Apex Stadium 57,Amsterdam,Netherlands,36.5,2.7
VEN058,Oslo Heritage Stadium 58,Oslo,Norway,51.5,1.9
VEN059,Turin Phoenix Arena 59,Turin,Italy,20.7,2.4
VEN060,Berlin Unity Sports Center 60,Berlin,Germany,40.0,4.2
VEN061,Porto Unity Sports Center 61,Porto,Portugal,25.8,0.5
VEN062,London Civic Arena 62,London,UK,29.6,4.2
VEN063,Oslo Unity Sports Center 63,Oslo,Norway,49.3,0.9
VEN064,Hamburg National Arena 64,Hamburg,Germany,17.2,1.3
VEN065,Budapest National Arena 65,Budapest,Hungary,65.0,4.2
VEN066,Rotterdam Olympic Center 66,Rotterdam,Netherlands,23.3,0.9
VEN067,Paris Harbor Arena 67,Paris,France,35.1,3.5
VEN068,Turin Grand Stadium 68,Turin,Italy,12.9,0.3
VEN069,Salzburg Olympic Center 69,Salzburg,Austria,46.2,7.3
VEN070,Salzburg Grand Stadium 70,Salzburg,Austria,71.5,7.7
VEN071,Stockholm Championship Grounds 71,Stockholm,Sweden,22.0,1.7
VEN072,Krakow Civic Arena 72,Krakow,Poland,15.4,0.6
VEN073,Brussels Unity Sports Center 73,Brussels,Belgium,35.4,3.1
